date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-03-03,2020-03-03,Argentina,4,0,3,0,1
2020-03-04,2020-03-04,Argentina,10,0,6,0,1
2020-03-05,2020-03-05,Argentina,20,0,10,0,1
2020-03-06,2020-03-06,Argentina,30,0,10,0,1
2020-03-07,2020-03-07,Argentina,45,0,15,0,1
2020-03-08,2020-03-08,Argentina,61,1,16,1,1
2020-03-09,2020-03-09,Argentina,80,1,19,0,1
2020-03-10,2020-03-10,Argentina,100,1,20,0,1
2020-03-11,2020-03-11,Argentina,118,1,18,0,1
2020-03-12,2020-03-12,Argentina,142,1,24,0,1
2020-03-13,2020-03-13,Argentina,171,2,29,1,1
2020-03-14,2020-03-14,Argentina,196,2,25,0,1
2020-03-15,2020-03-15,Argentina,225,2,29,0,1
2020-03-16,2020-03-16,Argentina,257,2,32,0,1
2020-03-17,2020-03-17,Argentina,292,2,35,0,1
2020-03-18,2020-03-18,Argentina,328,2,36,0,1
2020-03-19,2020-03-19,Argentina,371,3,43,1,1
2020-03-20,2020-03-20,Argentina,430,3,59,0,1
2020-03-21,2020-03-21,Argentina,501,4,71,1,1
2020-03-22,2020-03-22,Argentina,646,4,145,0,1
2020-03-23,2020-03-23,Argentina,786,4,140,0,1
2020-03-24,2020-03-24,Argentina,965,6,179,2,1
2020-03-25,2020-03-25,Argentina,1143,8,178,2,1
2020-03-26,2020-03-26,Argentina,1373,9,230,1,1
2020-03-27,2020-03-27,Argentina,1619,13,246,4,1
2020-03-28,2020-03-28,Argentina,1888,18,269,5,1
2020-03-29,2020-03-29,Argentina,2136,19,248,1,1
2020-03-30,2020-03-30,Argentina,2383,23,247,4,1
2020-03-31,2020-03-31,Argentina,2748,27,365,4,1
2020-04-01,2020-04-01,Argentina,3124,28,376,1,1
2020-04-02,2020-04-02,Argentina,3469,36,345,8,1
2020-04-03,2020-04-03,Argentina,3832,39,363,3,1
2020-04-04,2020-04-04,Argentina,4248,43,416,4,1
2020-04-05,2020-04-05,Argentina,4662,44,414,1,1
2020-04-06,2020-04-06,Argentina,5051,48,389,4,1
2020-04-07,2020-04-07,Argentina,5397,56,346,8,1
2020-04-08,2020-04-08,Argentina,5719,63,322,7,1
2020-04-09,2020-04-09,Argentina,6016,72,297,9,1
2020-04-10,2020-04-10,Argentina,6371,82,355,10,1
2020-04-11,2020-04-11,Argentina,6739,83,368,1,1
2020-04-12,2020-04-12,Argentina,7139,90,400,7,1
2020-04-13,2020-04-13,Argentina,7483,97,344,7,1
2020-04-14,2020-04-14,Argentina,7786,102,303,5,1
2020-04-15,2020-04-15,Argentina,8133,111,347,9,1
2020-04-16,2020-04-16,Argentina,8486,115,353,4,1
2020-04-17,2020-04-17,Argentina,8819,123,333,8,1
2020-04-18,2020-04-18,Argentina,9129,129,310,6,1
2020-04-19,2020-04-19,Argentina,9415,132,286,3,1
2020-04-20,2020-04-20,Argentina,9700,136,285,4,1
2020-04-21,2020-04-21,Argentina,9974,147,274,11,1
2020-04-22,2020-04-22,Argentina,10258,152,284,5,1
2020-04-23,2020-04-23,Argentina,10676,165,418,13,1
2020-04-24,2020-04-24,Argentina,11117,176,441,11,1
2020-04-25,2020-04-25,Argentina,11575,185,458,9,1
2020-04-26,2020-04-26,Argentina,11999,192,424,7,1
2020-04-27,2020-04-27,Argentina,12395,197,396,5,1
2020-04-28,2020-04-28,Argentina,12780,207,385,10,1
2020-04-29,2020-04-29,Argentina,13181,214,401,7,1
2020-04-30,2020-04-30,Argentina,13583,218,402,4,1
2020-05-01,2020-05-01,Argentina,13956,225,373,7,1
2020-05-02,2020-05-02,Argentina,14340,237,384,12,1
2020-05-03,2020-05-03,Argentina,14697,246,357,9,1
2020-05-04,2020-05-04,Argentina,15034,260,337,14,1
2020-05-05,2020-05-05,Argentina,15379,264,345,4,1
2020-05-06,2020-05-06,Argentina,15771,273,392,9,1
2020-05-07,2020-05-07,Argentina,16181,282,410,9,1
2020-05-08,2020-05-08,Argentina,16659,293,478,11,1
2020-05-09,2020-05-09,Argentina,17136,300,477,7,1
2020-05-10,2020-05-10,Argentina,17676,305,540,5,1
2020-05-11,2020-05-11,Argentina,18255,314,579,9,1
2020-05-12,2020-05-12,Argentina,18889,319,634,5,1
2020-05-13,2020-05-13,Argentina,19583,329,694,10,1
2020-05-14,2020-05-14,Argentina,20284,353,701,24,1
2020-05-15,2020-05-15,Argentina,21044,356,760,3,1
2020-05-16,2020-05-16,Argentina,21836,363,792,7,1
2020-05-17,2020-05-17,Argentina,22613,373,777,10,1
2020-05-18,2020-05-18,Argentina,23401,382,788,9,1
2020-05-19,2020-05-19,Argentina,24270,393,869,11,1
2020-05-20,2020-05-20,Argentina,25218,403,948,10,1
2020-05-21,2020-05-21,Argentina,26297,416,1079,13,1
2020-05-22,2020-05-22,Argentina,27498,433,1201,17,1
2020-05-23,2020-05-23,Argentina,28786,445,1288,12,1
2020-05-24,2020-05-24,Argentina,30143,452,1357,7,1
2020-05-25,2020-05-25,Argentina,31487,467,1344,15,1
2020-05-26,2020-05-26,Argentina,32836,484,1349,17,1
2020-05-27,2020-05-27,Argentina,34223,500,1387,16,1
2020-05-28,2020-05-28,Argentina,35657,508,1434,8,1
2020-05-29,2020-05-29,Argentina,37107,520,1450,12,1
2020-05-30,2020-05-30,Argentina,38591,528,1484,8,1
2020-05-31,2020-05-31,Argentina,40046,539,1455,11,1
2020-06-01,2020-06-01,Argentina,41448,556,1402,17,1
2020-06-02,2020-06-02,Argentina,42916,569,1468,13,1
2020-06-03,2020-06-03,Argentina,44444,583,1528,14,1
2020-06-04,2020-06-04,Argentina,46011,608,1567,25,1
2020-06-05,2020-06-05,Argentina,47583,632,1572,24,1
2020-06-06,2020-06-06,Argentina,49192,648,1609,16,1
2020-06-07,2020-06-07,Argentina,50773,664,1581,16,1
2020-06-08,2020-06-08,Argentina,52346,693,1573,29,1
2020-06-09,2020-06-09,Argentina,53983,717,1637,24,1
2020-06-10,2020-06-10,Argentina,55685,735,1702,18,1
2020-06-11,2020-06-11,Argentina,57464,765,1779,30,1
2020-06-12,2020-06-12,Argentina,59302,785,1838,20,1
2020-06-13,2020-06-13,Argentina,61208,815,1906,30,1
2020-06-14,2020-06-14,Argentina,63118,833,1910,18,1
2020-06-15,2020-06-15,Argentina,65015,854,1897,21,1
2020-06-16,2020-06-16,Argentina,66930,878,1915,24,1
2020-06-17,2020-06-17,Argentina,68860,913,1930,35,1
2020-06-18,2020-06-18,Argentina,70906,948,2046,35,1
2020-06-19,2020-06-19,Argentina,73061,979,2155,31,1
2020-06-20,2020-06-20,Argentina,75212,992,2151,13,1
2020-06-21,2020-06-21,Argentina,77348,1011,2136,19,1
2020-06-22,2020-06-22,Argentina,79582,1043,2234,32,1
2020-06-23,2020-06-23,Argentina,81917,1078,2335,35,1
2020-06-24,2020-06-24,Argentina,84417,1116,2500,38,1
2020-06-25,2020-06-25,Argentina,87031,1150,2614,34,1
2020-06-26,2020-06-26,Argentina,89800,1184,2769,34,1
