date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-03-08,2020-03-08,Bangladesh,12,0,9,0,1
2020-03-09,2020-03-09,Bangladesh,23,0,11,0,1
2020-03-10,2020-03-10,Bangladesh,35,0,12,0,1
2020-03-11,2020-03-11,Bangladesh,47,0,12,0,1
2020-03-12,2020-03-12,Bangladesh,60,0,13,0,1
2020-03-13,2020-03-13,Bangladesh,72,0,12,0,1
2020-03-14,2020-03-14,Bangladesh,84,0,12,0,1
2020-03-15,2020-03-15,Bangladesh,95,0,11,0,1
2020-03-16,2020-03-16,Bangladesh,106,0,11,0,1
2020-03-17,2020-03-17,Bangladesh,116,0,10,0,1
2020-03-18,2020-03-18,Bangladesh,127,1,11,1,1
2020-03-19,2020-03-19,Bangladesh,138,1,11,0,1
2020-03-20,2020-03-20,Bangladesh,149,1,11,0,1
2020-03-21,2020-03-21,Bangladesh,161,2,12,1,1
2020-03-22,2020-03-22,Bangladesh,172,2,11,0,1
2020-03-23,2020-03-23,Bangladesh,185,3,13,1,1
2020-03-24,2020-03-24,Bangladesh,200,4,15,1,1
2020-03-25,2020-03-25,Bangladesh,215,5,15,1,1
2020-03-26,2020-03-26,Bangladesh,231,5,16,0,1
2020-03-27,2020-03-27,Bangladesh,246,5,15,0,1
2020-03-28,2020-03-28,Bangladesh,262,5,16,0,1
2020-03-29,2020-03-29,Bangladesh,280,5,18,0,1
2020-03-30,2020-03-30,Bangladesh,294,5,14,0,1
2020-03-31,2020-03-31,Bangladesh,306,5,12,0,1
2020-04-01,2020-04-01,Bangladesh,317,6,11,1,1
2020-04-02,2020-04-02,Bangladesh,326,6,9,0,1
2020-04-03,2020-04-03,Bangladesh,337,6,11,0,1
2020-04-04,2020-04-04,Bangladesh,353,8,16,2,1
2020-04-05,2020-04-05,Bangladesh,380,9,27,1,1
2020-04-06,2020-04-06,Bangladesh,431,12,51,3,1
2020-04-07,2020-04-07,Bangladesh,506,17,75,5,1
2020-04-08,2020-04-08,Bangladesh,610,20,104,3,1
2020-04-09,2020-04-09,Bangladesh,785,21,175,1,1
2020-04-10,2020-04-10,Bangladesh,999,27,214,6,1
2020-04-11,2020-04-11,Bangladesh,1212,30,213,3,1
2020-04-12,2020-04-12,Bangladesh,1490,34,278,4,1
2020-04-13,2020-04-13,Bangladesh,1851,39,361,5,1
2020-04-14,2020-04-14,Bangladesh,2295,46,444,7,1
2020-04-15,2020-04-15,Bangladesh,2808,50,513,4,1
2020-04-16,2020-04-16,Bangladesh,3459,60,651,10,1
2020-04-17,2020-04-17,Bangladesh,4161,75,702,15,1
2020-04-18,2020-04-18,Bangladesh,4928,84,767,9,1
2020-04-19,2020-04-19,Bangladesh,5745,91,817,7,1
