date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-02-26,2020-02-26,Brazil,4,0,3,0,1
2020-02-27,2020-02-27,Brazil,16,0,12,0,1
2020-02-28,2020-02-28,Brazil,37,0,21,0,1
2020-02-29,2020-02-29,Brazil,59,0,22,0,1
2020-03-01,2020-03-01,Brazil,87,0,28,0,1
2020-03-02,2020-03-02,Brazil,117,0,30,0,1
2020-03-03,2020-03-03,Brazil,151,0,34,0,1
2020-03-04,2020-03-04,Brazil,181,0,30,0,1
2020-03-05,2020-03-05,Brazil,214,0,33,0,1
2020-03-06,2020-03-06,Brazil,249,0,35,0,1
2020-03-07,2020-03-07,Brazil,287,0,38,0,1
2020-03-08,2020-03-08,Brazil,323,0,36,0,1
2020-03-09,2020-03-09,Brazil,356,0,33,0,1
2020-03-10,2020-03-10,Brazil,387,0,31,0,1
2020-03-11,2020-03-11,Brazil,417,0,30,0,1
2020-03-12,2020-03-12,Brazil,453,0,36,0,1
2020-03-13,2020-03-13,Brazil,569,0,116,0,1
2020-03-14,2020-03-14,Brazil,713,0,144,0,1
2020-03-15,2020-03-15,Brazil,833,0,120,0,1
2020-03-16,2020-03-16,Brazil,957,0,124,0,1
2020-03-17,2020-03-17,Brazil,1158,1,201,1,1
2020-03-18,2020-03-18,Brazil,1355,3,197,2,1
2020-03-19,2020-03-19,Brazil,1724,6,369,3,1
2020-03-20,2020-03-20,Brazil,2157,11,433,5,1
2020-03-21,2020-03-21,Brazil,2686,15,529,4,1
2020-03-22,2020-03-22,Brazil,3546,25,860,10,1
2020-03-23,2020-03-23,Brazil,4531,34,985,9,1
2020-03-24,2020-03-24,Brazil,5559,46,1028,12,1
2020-03-25,2020-03-25,Brazil,6601,59,1042,13,1
2020-03-26,2020-03-26,Brazil,7757,77,1156,18,1
2020-03-27,2020-03-27,Brazil,8998,92,1241,15,1
2020-03-28,2020-03-28,Brazil,10346,111,1348,19,1
2020-03-29,2020-03-29,Brazil,11655,136,1309,25,1
2020-03-30,2020-03-30,Brazil,12903,159,1248,23,1
2020-03-31,2020-03-31,Brazil,14790,201,1887,42,1
2020-04-01,2020-04-01,Brazil,17151,240,2361,39,1
2020-04-02,2020-04-02,Brazil,19941,324,2790,84,1
2020-04-03,2020-04-03,Brazil,22891,359,2950,35,1
2020-04-04,2020-04-04,Brazil,26190,445,3299,86,1
2020-04-05,2020-04-05,Brazil,29305,486,3115,41,1
2020-04-06,2020-04-06,Brazil,32483,564,3178,78,1
2020-04-07,2020-04-07,Brazil,36370,686,3887,122,1
2020-04-08,2020-04-08,Brazil,40992,819,4622,133,1
2020-04-09,2020-04-09,Brazil,46004,950,5012,131,1
2020-04-10,2020-04-10,Brazil,51006,1057,5002,107,1
2020-04-11,2020-04-11,Brazil,55614,1124,4608,67,1
2020-04-12,2020-04-12,Brazil,60205,1223,4591,99,1
2020-04-13,2020-04-13,Brazil,64589,1328,4384,105,1
2020-04-14,2020-04-14,Brazil,69272,1532,4683,204,1
2020-04-15,2020-04-15,Brazil,75070,1736,5798,204,1
2020-04-16,2020-04-16,Brazil,81031,1924,5961,188,1
2020-04-17,2020-04-17,Brazil,87922,2141,6891,217,1
2020-04-18,2020-04-18,Brazil,95321,2354,7399,213,1
2020-04-19,2020-04-19,Brazil,102380,2462,7059,108,1
2020-04-20,2020-04-20,Brazil,109224,2587,6844,125,1
2020-04-21,2020-04-21,Brazil,116069,2741,6845,154,1
2020-04-22,2020-04-22,Brazil,123148,2906,7079,165,1
2020-04-23,2020-04-23,Brazil,131450,3331,8302,425,1
2020-04-24,2020-04-24,Brazil,140512,3704,9062,373,1
2020-04-25,2020-04-25,Brazil,150885,4057,10373,353,1
2020-04-26,2020-04-26,Brazil,161351,4286,10466,229,1
2020-04-27,2020-04-27,Brazil,172213,4603,10862,317,1
2020-04-28,2020-04-28,Brazil,184160,5083,11947,480,1
2020-04-29,2020-04-29,Brazil,197244,5513,13084,430,1
2020-04-30,2020-04-30,Brazil,211649,6006,14405,493,1
2020-05-01,2020-05-01,Brazil,225807,6412,14158,406,1
2020-05-02,2020-05-02,Brazil,239665,6761,13858,349,1
2020-05-03,2020-05-03,Brazil,253156,7051,13491,290,1
2020-05-04,2020-05-04,Brazil,267410,7367,14254,316,1
2020-05-05,2020-05-05,Brazil,282244,7938,14834,571,1
2020-05-06,2020-05-06,Brazil,299083,8588,16839,650,1
2020-05-07,2020-05-07,Brazil,316796,9190,17713,602,1
2020-05-08,2020-05-08,Brazil,335771,10017,18975,827,1
2020-05-09,2020-05-09,Brazil,355047,10656,19276,639,1
2020-05-10,2020-05-10,Brazil,373468,11123,18421,467,1
2020-05-11,2020-05-11,Brazil,391305,11653,17837,530,1
2020-05-12,2020-05-12,Brazil,409379,12461,18074,808,1
2020-05-13,2020-05-13,Brazil,428659,13240,19280,779,1
2020-05-14,2020-05-14,Brazil,449123,13999,20464,759,1
2020-05-15,2020-05-15,Brazil,471331,14962,22208,963,1
2020-05-16,2020-05-16,Brazil,494028,15662,22697,700,1
2020-05-17,2020-05-17,Brazil,515255,16118,21227,456,1
2020-05-18,2020-05-18,Brazil,537351,16853,22096,735,1
2020-05-19,2020-05-19,Brazil,560544,17983,23193,1130,1
2020-05-20,2020-05-20,Brazil,585136,18859,24592,876,1
2020-05-21,2020-05-21,Brazil,610554,20047,25418,1188,1
2020-05-22,2020-05-22,Brazil,636980,21048,26426,1001,1
2020-05-23,2020-05-23,Brazil,663348,22013,26368,965,1
2020-05-24,2020-05-24,Brazil,689487,22666,26139,653,1
2020-05-25,2020-05-25,Brazil,714454,23473,24967,807,1
2020-05-26,2020-05-26,Brazil,739538,24512,25084,1039,1
2020-05-27,2020-05-27,Brazil,765475,25598,25937,1086,1
2020-05-28,2020-05-28,Brazil,793140,26754,27665,1156,1
2020-05-29,2020-05-29,Brazil,822212,27878,29072,1124,1
2020-05-30,2020-05-30,Brazil,853720,28834,31508,956,1
2020-05-31,2020-05-31,Brazil,883705,29314,29985,480,1
2020-06-01,2020-06-01,Brazil,911366,29937,27661,623,1
2020-06-02,2020-06-02,Brazil,940680,31199,29314,1262,1
2020-06-03,2020-06-03,Brazil,971183,32548,30503,1349,1
2020-06-04,2020-06-04,Brazil,1003072,34021,31889,1473,1
2020-06-05,2020-06-05,Brazil,1035973,35026,32901,1005,1
2020-06-06,2020-06-06,Brazil,1068813,35930,32840,904,1
2020-06-07,2020-06-07,Brazil,1100032,36455,31219,525,1
2020-06-08,2020-06-08,Brazil,1129348,37134,29316,679,1
2020-06-09,2020-06-09,Brazil,1160407,38406,31059,1272,1
2020-06-10,2020-06-10,Brazil,1192991,39680,32584,1274,1
2020-06-11,2020-06-11,Brazil,1226162,40919,33171,1239,1
2020-06-12,2020-06-12,Brazil,1258832,41828,32670,909,1
2020-06-13,2020-06-13,Brazil,1290279,42720,31447,892,1
2020-06-14,2020-06-14,Brazil,1319924,43332,29645,612,1
2020-06-15,2020-06-15,Brazil,1348816,43959,28892,627,1
2020-06-16,2020-06-16,Brazil,1380099,45241,31283,1282,1
2020-06-17,2020-06-17,Brazil,1412586,46510,32487,1269,1
2020-06-18,2020-06-18,Brazil,1444050,47748,31464,1238,1
2020-06-19,2020-06-19,Brazil,1482693,48954,38643,1206,1
2020-06-20,2020-06-20,Brazil,1521393,49976,38700,1022,1
2020-06-21,2020-06-21,Brazil,1556263,50591,34870,615,1
2020-06-22,2020-06-22,Brazil,1589491,51271,33228,680,1
2020-06-23,2020-06-23,Brazil,1625088,52645,35597,1374,1
2020-06-24,2020-06-24,Brazil,1663373,53830,38285,1185,1
2020-06-25,2020-06-25,Brazil,1702845,54971,39472,1141,1
2020-06-26,2020-06-26,Brazil,1745187,55961,42342,990,1
2020-06-27,2020-06-27,Brazil,1787495,57070,42308,1109,1
2020-06-28,2020-06-28,Brazil,1827743,57622,40248,552,1
2020-06-29,2020-06-29,Brazil,1865038,58314,37295,692,1
2020-06-30,2020-06-30,Brazil,1902112,59594,37074,1280,1
2020-07-01,2020-07-01,Brazil,1942366,60632,40254,1038,1
2020-07-02,2020-07-02,Brazil,1985452,61884,43086,1252,1
2020-07-03,2020-07-03,Brazil,2029070,63174,43618,1290,1
2020-07-04,2020-07-04,Brazil,2071926,64265,42856,1091,1
2020-07-05,2020-07-05,Brazil,2111446,64867,39520,602,1
2020-07-06,2020-07-06,Brazil,2147275,65487,35829,620,1
2020-07-07,2020-07-07,Brazil,2186011,66741,38736,1254,1
2020-07-08,2020-07-08,Brazil,2226802,67964,40791,1223,1
2020-07-09,2020-07-09,Brazil,2268641,69184,41839,1220,1
2020-07-10,2020-07-10,Brazil,2311931,70398,43290,1214,1
2020-07-11,2020-07-11,Brazil,2354702,71469,42771,1071,1
2020-07-12,2020-07-12,Brazil,2393819,72100,39117,631,1
2020-07-13,2020-07-13,Brazil,2429259,72833,35440,733,1
2020-07-14,2020-07-14,Brazil,2466680,74133,37421,1300,1
2020-07-15,2020-07-15,Brazil,2505144,75366,38464,1233,1
2020-07-16,2020-07-16,Brazil,2545899,76688,40755,1322,1
2020-07-17,2020-07-17,Brazil,2585504,77851,39605,1163,1
2020-07-18,2020-07-18,Brazil,2622940,78772,37436,921,1
2020-07-19,2020-07-19,Brazil,2657710,79488,34770,716,1
2020-07-20,2020-07-20,Brazil,2689842,80120,32132,632,1
2020-07-21,2020-07-21,Brazil,2724561,81487,34719,1367,1
2020-07-22,2020-07-22,Brazil,2769023,82771,44462,1284,1
2020-07-23,2020-07-23,Brazil,2818672,84082,49649,1311,1
2020-07-24,2020-07-24,Brazil,2871076,85238,52404,1156,1
2020-07-25,2020-07-25,Brazil,2924152,86449,53076,1211,1
2020-07-26,2020-07-26,Brazil,2971055,87004,46903,555,1
2020-07-27,2020-07-27,Brazil,3012874,87618,41819,614,1
