date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-02-23,2020-02-23,Chile,8,0,6,0,1
2020-02-24,2020-02-24,Chile,26,0,18,0,1
2020-02-25,2020-02-25,Chile,56,0,30,0,1
2020-02-26,2020-02-26,Chile,92,0,36,0,1
2020-02-27,2020-02-27,Chile,133,0,41,0,1
2020-02-28,2020-02-28,Chile,178,0,45,0,1
2020-02-29,2020-02-29,Chile,224,0,46,0,1
2020-03-01,2020-03-01,Chile,269,0,45,0,1
2020-03-02,2020-03-02,Chile,317,0,48,0,1
2020-03-03,2020-03-03,Chile,357,0,40,0,1
2020-03-04,2020-03-04,Chile,400,0,43,0,1
2020-03-05,2020-03-05,Chile,437,0,37,0,1
2020-03-06,2020-03-06,Chile,480,0,43,0,1
2020-03-07,2020-03-07,Chile,528,0,48,0,1
2020-03-08,2020-03-08,Chile,571,0,43,0,1
2020-03-09,2020-03-09,Chile,620,0,49,0,1
2020-03-10,2020-03-10,Chile,662,0,42,0,1
2020-03-11,2020-03-11,Chile,702,0,40,0,1
2020-03-12,2020-03-12,Chile,757,0,55,0,1
2020-03-13,2020-03-13,Chile,816,0,59,0,1
2020-03-14,2020-03-14,Chile,889,0,73,0,1
2020-03-15,2020-03-15,Chile,955,0,66,0,1
2020-03-16,2020-03-16,Chile,1075,0,120,0,1
2020-03-17,2020-03-17,Chile,1206,0,131,0,1
2020-03-18,2020-03-18,Chile,1337,0,131,0,1
2020-03-19,2020-03-19,Chile,1504,0,167,0,1
2020-03-20,2020-03-20,Chile,1795,0,291,0,1
2020-03-21,2020-03-21,Chile,2128,0,333,0,1
2020-03-22,2020-03-22,Chile,2461,1,333,1,1
2020-03-23,2020-03-23,Chile,2809,2,348,1,1
2020-03-24,2020-03-24,Chile,3218,2,409,0,1
2020-03-25,2020-03-25,Chile,3708,3,490,1,1
2020-03-26,2020-03-26,Chile,4213,4,505,1,1
2020-03-27,2020-03-27,Chile,4838,5,625,1,1
2020-03-28,2020-03-28,Chile,5587,6,749,1,1
2020-03-29,2020-03-29,Chile,6338,7,751,1,1
2020-03-30,2020-03-30,Chile,7149,8,811,1,1
2020-03-31,2020-03-31,Chile,7987,12,838,4,1
2020-04-01,2020-04-01,Chile,8846,16,859,4,1
2020-04-02,2020-04-02,Chile,9777,18,931,2,1
2020-04-03,2020-04-03,Chile,10732,22,955,4,1
2020-04-04,2020-04-04,Chile,11826,27,1094,5,1
2020-04-05,2020-04-05,Chile,12883,34,1057,7,1
2020-04-06,2020-04-06,Chile,13933,37,1050,3,1
2020-04-07,2020-04-07,Chile,14943,43,1010,6,1
2020-04-08,2020-04-08,Chile,16013,48,1070,5,1
2020-04-09,2020-04-09,Chile,17124,57,1111,9,1
2020-04-10,2020-04-10,Chile,18333,65,1209,8,1
2020-04-11,2020-04-11,Chile,19703,73,1370,8,1
2020-04-12,2020-04-12,Chile,20936,80,1233,7,1
2020-04-13,2020-04-13,Chile,22079,82,1143,2,1
2020-04-14,2020-04-14,Chile,23209,92,1130,10,1
2020-04-15,2020-04-15,Chile,24302,94,1093,2,1
2020-04-16,2020-04-16,Chile,25487,105,1185,11,1
2020-04-17,2020-04-17,Chile,26682,116,1195,11,1
2020-04-18,2020-04-18,Chile,28154,126,1472,10,1
