date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-01-22,2020-01-22,China,915,17,367,0,1
2020-01-23,2020-01-23,China,1163,18,248,1,1
2020-01-24,2020-01-24,China,1417,26,254,8,1
2020-01-25,2020-01-25,China,1736,42,319,16,1
2020-01-26,2020-01-26,China,2145,56,409,14,1
2020-01-27,2020-01-27,China,2656,82,511,26,1
2020-01-28,2020-01-28,China,3766,131,1110,49,1
2020-01-29,2020-01-29,China,4783,133,1017,2,1
2020-01-30,2020-01-30,China,6112,171,1329,38,1
2020-01-31,2020-01-31,China,7565,213,1453,42,1
2020-02-01,2020-02-01,China,9239,259,1674,46,1
2020-02-02,2020-02-02,China,11874,361,2635,102,1
2020-02-03,2020-02-03,China,14749,425,2875,64,1
2020-02-04,2020-02-04,China,18070,491,3321,66,1
2020-02-05,2020-02-05,China,21645,563,3575,72,1
2020-02-06,2020-02-06,China,25228,633,3583,70,1
2020-02-07,2020-02-07,China,28916,718,3688,85,1
2020-02-08,2020-02-08,China,32426,805,3510,87,1
2020-02-09,2020-02-09,China,35881,905,3455,100,1
2020-02-10,2020-02-10,China,39138,1012,3257,107,1
2020-02-11,2020-02-11,China,42086,1112,2948,100,1
2020-02-12,2020-02-12,China,44746,1117,2660,5,1
2020-02-13,2020-02-13,China,50704,1369,5958,252,1
2020-02-14,2020-02-14,China,57052,1521,6348,152,1
2020-02-15,2020-02-15,China,62354,1663,5302,142,1
2020-02-16,2020-02-16,China,66839,1766,4485,103,1
2020-02-17,2020-02-17,China,70628,1864,3789,98,1
2020-02-18,2020-02-18,China,73832,2003,3204,139,1
2020-02-19,2020-02-19,China,76247,2116,2415,113,1
2020-02-20,2020-02-20,China,78068,2238,1821,122,1
2020-02-21,2020-02-21,China,79443,2238,1375,0,1
2020-02-22,2020-02-22,China,80713,2443,1270,205,1
2020-02-23,2020-02-23,China,81494,2445,781,2,1
2020-02-24,2020-02-24,China,82034,2595,540,150,1
2020-02-25,2020-02-25,China,82482,2665,448,70,1
2020-02-26,2020-02-26,China,82854,2717,372,52,1
2020-02-27,2020-02-27,China,83186,2746,332,29,1
2020-02-28,2020-02-28,China,83475,2790,289,44,1
2020-02-29,2020-02-29,China,83768,2837,293,47,1
2020-03-01,2020-03-01,China,84103,2872,335,35,1
2020-03-02,2020-03-02,China,84384,2914,281,42,1
2020-03-03,2020-03-03,China,84591,2947,207,33,1
2020-03-04,2020-03-04,China,84749,2983,158,36,1
2020-03-05,2020-03-05,China,84893,3015,144,32,1
2020-03-06,2020-03-06,China,85034,3044,141,29,1
2020-03-07,2020-03-07,China,85135,3072,101,28,1
2020-03-08,2020-03-08,China,85191,3100,56,28,1
2020-03-09,2020-03-09,China,85206,3123,15,23,1
2020-03-10,2020-03-10,China,85206,3139,0,16,1
2020-03-11,2020-03-11,China,85206,3161,0,22,1
2020-03-12,2020-03-12,China,85206,3172,0,11,1
2020-03-13,2020-03-13,China,85206,3180,0,8,1
2020-03-14,2020-03-14,China,85206,3193,0,13,1
2020-03-15,2020-03-15,China,85206,3203,0,10,1
2020-03-16,2020-03-16,China,85206,3217,0,14,1
2020-03-17,2020-03-17,China,85206,3230,0,13,1
2020-03-18,2020-03-18,China,85206,3241,0,11,1
2020-03-19,2020-03-19,China,85221,3249,15,8,1
2020-03-20,2020-03-20,China,85289,3253,68,4,1
2020-03-21,2020-03-21,China,85372,3259,83,6,1
2020-03-22,2020-03-22,China,85518,3274,146,15,1
2020-03-23,2020-03-23,China,85669,3274,151,0,1
2020-03-24,2020-03-24,China,85845,3281,176,7,1
2020-03-25,2020-03-25,China,86024,3285,179,4,1
2020-03-26,2020-03-26,China,86240,3291,216,6,1
2020-03-27,2020-03-27,China,86481,3296,241,5,1
2020-03-28,2020-03-28,China,86733,3299,252,3,1
