date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-03-06,2020-03-06,Colombia,4,0,3,0,1
2020-03-07,2020-03-07,Colombia,14,0,10,0,1
2020-03-08,2020-03-08,Colombia,30,0,16,0,1
2020-03-09,2020-03-09,Colombia,51,0,21,0,1
2020-03-10,2020-03-10,Colombia,73,0,22,0,1
2020-03-11,2020-03-11,Colombia,98,0,25,0,1
2020-03-12,2020-03-12,Colombia,126,0,28,0,1
2020-03-13,2020-03-13,Colombia,153,0,27,0,1
2020-03-14,2020-03-14,Colombia,184,0,31,0,1
2020-03-15,2020-03-15,Colombia,220,0,36,0,1
2020-03-16,2020-03-16,Colombia,269,0,49,0,1
2020-03-17,2020-03-17,Colombia,323,0,54,0,1
2020-03-18,2020-03-18,Colombia,389,0,66,0,1
2020-03-19,2020-03-19,Colombia,445,0,56,0,1
2020-03-20,2020-03-20,Colombia,532,0,87,0,1
2020-03-21,2020-03-21,Colombia,631,0,99,0,1
2020-03-22,2020-03-22,Colombia,737,2,106,2,1
2020-03-23,2020-03-23,Colombia,857,3,120,1,1
2020-03-24,2020-03-24,Colombia,1035,3,178,0,1
2020-03-25,2020-03-25,Colombia,1249,4,214,1,1
2020-03-26,2020-03-26,Colombia,1428,6,179,2,1
2020-03-27,2020-03-27,Colombia,1603,6,175,0,1
2020-03-28,2020-03-28,Colombia,1793,6,190,0,1
2020-03-29,2020-03-29,Colombia,2014,10,221,4,1
2020-03-30,2020-03-30,Colombia,2260,12,246,2,1
2020-03-31,2020-03-31,Colombia,2535,16,275,4,1
2020-04-01,2020-04-01,Colombia,2873,17,338,1,1
2020-04-02,2020-04-02,Colombia,3207,19,334,2,1
2020-04-03,2020-04-03,Colombia,3544,25,337,6,1
2020-04-04,2020-04-04,Colombia,3910,32,366,7,1
2020-04-05,2020-04-05,Colombia,4247,35,337,3,1
2020-04-06,2020-04-06,Colombia,4574,46,327,11,1
2020-04-07,2020-04-07,Colombia,4978,50,404,4,1
2020-04-08,2020-04-08,Colombia,5495,54,517,4,1
2020-04-09,2020-04-09,Colombia,6018,69,523,15,1
2020-04-10,2020-04-10,Colombia,6606,80,588,11,1
2020-04-11,2020-04-11,Colombia,7232,100,626,20,1
2020-04-12,2020-04-12,Colombia,7750,109,518,9,1
2020-04-13,2020-04-13,Colombia,8190,112,440,3,1
2020-04-14,2020-04-14,Colombia,8611,127,421,15,1
2020-04-15,2020-04-15,Colombia,9017,131,406,4,1
2020-04-16,2020-04-16,Colombia,9412,144,395,13,1
2020-04-17,2020-04-17,Colombia,9861,153,449,9,1
2020-04-18,2020-04-18,Colombia,10333,166,472,13,1
2020-04-19,2020-04-19,Colombia,10813,179,480,13,1
2020-04-20,2020-04-20,Colombia,11310,189,497,10,1
2020-04-21,2020-04-21,Colombia,11809,196,499,7,1
2020-04-22,2020-04-22,Colombia,12336,206,527,10,1
2020-04-23,2020-04-23,Colombia,12883,215,547,9,1
2020-04-24,2020-04-24,Colombia,13529,225,646,10,1
2020-04-25,2020-04-25,Colombia,14208,233,679,8,1
2020-04-26,2020-04-26,Colombia,14893,244,685,11,1
2020-04-27,2020-04-27,Colombia,15567,253,674,9,1
2020-04-28,2020-04-28,Colombia,16328,269,761,16,1
2020-04-29,2020-04-29,Colombia,17088,278,760,9,1
2020-04-30,2020-04-30,Colombia,17876,293,788,15,1
2020-05-01,2020-05-01,Colombia,18813,314,937,21,1
2020-05-02,2020-05-02,Colombia,19719,324,906,10,1
2020-05-03,2020-05-03,Colombia,20671,340,952,16,1
2020-05-04,2020-05-04,Colombia,21602,358,931,18,1
2020-05-05,2020-05-05,Colombia,22720,378,1118,20,1
2020-05-06,2020-05-06,Colombia,23804,397,1084,19,1
2020-05-07,2020-05-07,Colombia,24955,407,1151,10,1
2020-05-08,2020-05-08,Colombia,26211,428,1256,21,1
2020-05-09,2020-05-09,Colombia,27458,445,1247,17,1
2020-05-10,2020-05-10,Colombia,28767,463,1309,18,1
2020-05-11,2020-05-11,Colombia,30112,479,1345,16,1
2020-05-12,2020-05-12,Colombia,31539,493,1427,14,1
2020-05-13,2020-05-13,Colombia,33027,509,1488,16,1
2020-05-14,2020-05-14,Colombia,34569,525,1542,16,1
2020-05-15,2020-05-15,Colombia,36112,546,1543,21,1
2020-05-16,2020-05-16,Colombia,37711,562,1599,16,1
2020-05-17,2020-05-17,Colombia,39306,574,1595,12,1
2020-05-18,2020-05-18,Colombia,40938,592,1632,18,1
2020-05-19,2020-05-19,Colombia,42556,613,1618,21,1
2020-05-20,2020-05-20,Colombia,44215,630,1659,17,1
2020-05-21,2020-05-21,Colombia,45850,652,1635,22,1
2020-05-22,2020-05-22,Colombia,47539,682,1689,30,1
2020-05-23,2020-05-23,Colombia,49363,705,1824,23,1
