date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-01-24,2020-01-24,France,8,0,6,0,1
2020-01-25,2020-01-25,France,11,0,3,0,1
2020-01-26,2020-01-26,France,14,0,3,0,1
2020-01-27,2020-01-27,France,17,0,3,0,1
2020-01-28,2020-01-28,France,18,0,1,0,1
2020-01-29,2020-01-29,France,18,0,0,0,1
2020-01-30,2020-01-30,France,22,0,4,0,1
2020-01-31,2020-01-31,France,30,0,8,0,1
2020-02-01,2020-02-01,France,36,0,6,0,1
2020-02-02,2020-02-02,France,44,0,8,0,1
2020-02-03,2020-02-03,France,57,0,13,0,1
2020-02-04,2020-02-04,France,73,0,16,0,1
2020-02-05,2020-02-05,France,91,0,18,0,1
2020-02-06,2020-02-06,France,112,0,21,0,1
2020-02-07,2020-02-07,France,135,0,23,0,1
2020-02-08,2020-02-08,France,156,0,21,0,1
2020-02-09,2020-02-09,France,181,0,25,0,1
2020-02-10,2020-02-10,France,210,0,29,0,1
2020-02-11,2020-02-11,France,244,0,34,0,1
2020-02-12,2020-02-12,France,283,0,39,0,1
2020-02-13,2020-02-13,France,322,0,39,0,1
2020-02-14,2020-02-14,France,361,0,39,0,1
2020-02-15,2020-02-15,France,390,1,29,1,1
2020-02-16,2020-02-16,France,422,1,32,0,1
2020-02-17,2020-02-17,France,457,1,35,0,1
2020-02-18,2020-02-18,France,497,1,40,0,1
2020-02-19,2020-02-19,France,544,1,47,0,1
2020-02-20,2020-02-20,France,590,1,46,0,1
2020-02-21,2020-02-21,France,639,1,49,0,1
2020-02-22,2020-02-22,France,687,1,48,0,1
2020-02-23,2020-02-23,France,737,1,50,0,1
2020-02-24,2020-02-24,France,792,1,55,0,1
2020-02-25,2020-02-25,France,834,1,42,0,1
2020-02-26,2020-02-26,France,867,2,33,1,1
2020-02-27,2020-02-27,France,908,2,41,0,1
2020-02-28,2020-02-28,France,954,2,46,0,1
2020-02-29,2020-02-29,France,1024,2,70,0,1
2020-03-01,2020-03-01,France,1102,2,78,0,1
2020-03-02,2020-03-02,France,1213,3,111,1,1
2020-03-03,2020-03-03,France,1307,4,94,1,1
2020-03-04,2020-03-04,France,1448,4,141,0,1
2020-03-05,2020-03-05,France,1633,6,185,2,1
2020-03-06,2020-03-06,France,1991,9,358,3,1
2020-03-07,2020-03-07,France,2500,11,509,2,1
2020-03-08,2020-03-08,France,3032,19,532,8,1
2020-03-09,2020-03-09,France,3503,19,471,0,1
2020-03-10,2020-03-10,France,4252,33,749,14,1
2020-03-11,2020-03-11,France,5172,48,920,15,1
2020-03-12,2020-03-12,France,6139,48,967,0,1
2020-03-13,2020-03-13,France,7526,79,1387,31,1
2020-03-14,2020-03-14,France,9070,91,1544,12,1
2020-03-15,2020-03-15,France,10256,91,1186,0,1
2020-03-16,2020-03-16,France,11936,149,1680,58,1
2020-03-17,2020-03-17,France,13760,149,1824,0,1
2020-03-18,2020-03-18,France,15782,149,2022,0,1
2020-03-19,2020-03-19,France,18032,244,2250,95,1
2020-03-20,2020-03-20,France,20439,451,2407,207,1
2020-03-21,2020-03-21,France,22943,563,2504,112,1
2020-03-22,2020-03-22,France,25526,676,2583,113,1
2020-03-23,2020-03-23,France,28619,862,3093,186,1
2020-03-24,2020-03-24,France,31772,1102,3153,240,1
2020-03-25,2020-03-25,France,35062,1333,3290,231,1
2020-03-26,2020-03-26,France,38688,1698,3626,365,1
2020-03-27,2020-03-27,France,42536,1997,3848,299,1
2020-03-28,2020-03-28,France,46778,2317,4242,320,1
2020-03-29,2020-03-29,France,50780,2611,4002,294,1
2020-03-30,2020-03-30,France,55047,3030,4267,419,1
2020-03-31,2020-03-31,France,60446,3532,5399,502,1
2020-04-01,2020-04-01,France,65896,4414,5450,882,1
2020-04-02,2020-04-02,France,70693,5398,4797,984,1
2020-04-03,2020-04-03,France,75746,6520,5053,1122,1
2020-04-04,2020-04-04,France,80709,7574,4963,1054,1
2020-04-05,2020-04-05,France,85043,8093,4334,519,1
2020-04-06,2020-04-06,France,89332,8926,4289,833,1
2020-04-07,2020-04-07,France,93552,10343,4220,1417,1
2020-04-08,2020-04-08,France,97736,10887,4184,544,1
2020-04-09,2020-04-09,France,102001,12228,4265,1341,1
2020-04-10,2020-04-10,France,106345,13215,4344,987,1
2020-04-11,2020-04-11,France,110424,13851,4079,636,1
2020-04-12,2020-04-12,France,121340,14412,10916,561,1
2020-04-13,2020-04-13,France,130614,14986,9274,574,1
2020-04-14,2020-04-14,France,138929,15731,8315,745,1
2020-04-15,2020-04-15,France,146005,17169,7076,1438,1
2020-04-16,2020-04-16,France,154818,17922,8813,753,1
2020-04-17,2020-04-17,France,161993,18683,7175,761,1
2020-04-18,2020-04-18,France,167103,19325,5110,642,1
2020-04-19,2020-04-19,France,172103,19720,5000,395,1
2020-04-20,2020-04-20,France,176388,20267,4285,547,1
2020-04-21,2020-04-21,France,180208,20798,3820,531,1
2020-04-22,2020-04-22,France,183712,21342,3504,544,1
2020-04-23,2020-04-23,France,186865,21858,3153,516,1
2020-04-24,2020-04-24,France,189637,22248,2772,390,1
2020-04-25,2020-04-25,France,192140,22617,2503,369,1
2020-04-26,2020-04-26,France,194125,22859,1985,242,1
2020-04-27,2020-04-27,France,196493,23296,2368,437,1
2020-04-28,2020-04-28,France,199013,23663,2520,367,1
2020-04-29,2020-04-29,France,201222,24090,2209,427,1
2020-04-30,2020-04-30,France,203123,24379,1901,289,1
2020-05-01,2020-05-01,France,204324,24597,1201,218,1
2020-05-02,2020-05-02,France,205620,24763,1296,166,1
2020-05-03,2020-05-03,France,206686,24900,1066,137,1
2020-05-04,2020-05-04,France,207722,25204,1036,304,1
2020-05-05,2020-05-05,France,208909,25537,1187,333,1
2020-05-06,2020-05-06,France,210740,25812,1831,275,1
2020-05-07,2020-05-07,France,212421,25990,1681,178,1
2020-05-08,2020-05-08,France,214180,26233,1759,243,1
2020-05-09,2020-05-09,France,215764,26313,1584,80,1
2020-05-10,2020-05-10,France,217061,26383,1297,70,1
2020-05-11,2020-05-11,France,218231,26646,1170,263,1
2020-05-12,2020-05-12,France,219477,26994,1246,348,1
2020-05-13,2020-05-13,France,220696,27077,1219,83,1
2020-05-14,2020-05-14,France,221996,27428,1300,351,1
2020-05-15,2020-05-15,France,223289,27532,1293,104,1
2020-05-16,2020-05-16,France,224565,27532,1276,0,1
2020-05-17,2020-05-17,France,225476,28111,911,579,1
2020-05-18,2020-05-18,France,226329,28242,853,131,1
