date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-01-27,2020-01-27,Germany,4,0,3,0,1
2020-01-28,2020-01-28,Germany,13,0,9,0,1
2020-01-29,2020-01-29,Germany,27,0,14,0,1
2020-01-30,2020-01-30,Germany,44,0,17,0,1
2020-01-31,2020-01-31,Germany,61,0,17,0,1
2020-02-01,2020-02-01,Germany,79,0,18,0,1
2020-02-02,2020-02-02,Germany,97,0,18,0,1
2020-02-03,2020-02-03,Germany,114,0,17,0,1
2020-02-04,2020-02-04,Germany,132,0,18,0,1
2020-02-05,2020-02-05,Germany,151,0,19,0,1
2020-02-06,2020-02-06,Germany,170,0,19,0,1
2020-02-07,2020-02-07,Germany,186,0,16,0,1
2020-02-08,2020-02-08,Germany,204,0,18,0,1
2020-02-09,2020-02-09,Germany,219,0,15,0,1
2020-02-10,2020-02-10,Germany,238,0,19,0,1
2020-02-11,2020-02-11,Germany,255,0,17,0,1
2020-02-12,2020-02-12,Germany,278,0,23,0,1
2020-02-13,2020-02-13,Germany,307,0,29,0,1
2020-02-14,2020-02-14,Germany,342,0,35,0,1
2020-02-15,2020-02-15,Germany,380,0,38,0,1
2020-02-16,2020-02-16,Germany,422,0,42,0,1
2020-02-17,2020-02-17,Germany,464,0,42,0,1
2020-02-18,2020-02-18,Germany,511,0,47,0,1
2020-02-19,2020-02-19,Germany,564,0,53,0,1
2020-02-20,2020-02-20,Germany,622,0,58,0,1
2020-02-21,2020-02-21,Germany,679,0,57,0,1
2020-02-22,2020-02-22,Germany,742,0,63,0,1
2020-02-23,2020-02-23,Germany,806,0,64,0,1
2020-02-24,2020-02-24,Germany,875,0,69,0,1
2020-02-25,2020-02-25,Germany,926,0,51,0,1
2020-02-26,2020-02-26,Germany,972,0,46,0,1
2020-02-27,2020-02-27,Germany,1021,0,49,0,1
2020-02-28,2020-02-28,Germany,1058,0,37,0,1
2020-02-29,2020-02-29,Germany,1111,0,53,0,1
2020-03-01,2020-03-01,Germany,1193,0,82,0,1
2020-03-02,2020-03-02,Germany,1279,0,86,0,1
2020-03-03,2020-03-03,Germany,1375,0,96,0,1
2020-03-04,2020-03-04,Germany,1502,0,127,0,1
2020-03-05,2020-03-05,Germany,1772,0,270,0,1
2020-03-06,2020-03-06,Germany,2128,0,356,0,1
2020-03-07,2020-03-07,Germany,2504,0,376,0,1
2020-03-08,2020-03-08,Germany,2976,0,472,0,1
2020-03-09,2020-03-09,Germany,3443,2,467,2,1
2020-03-10,2020-03-10,Germany,4007,2,564,0,1
2020-03-11,2020-03-11,Germany,4741,3,734,1,1
2020-03-12,2020-03-12,Germany,5429,3,688,0,1
2020-03-13,2020-03-13,Germany,6561,7,1132,4,1
2020-03-14,2020-03-14,Germany,7894,9,1333,2,1
2020-03-15,2020-03-15,Germany,9443,11,1549,2,1
2020-03-16,2020-03-16,Germany,11202,17,1759,6,1
2020-03-17,2020-03-17,Germany,13210,24,2008,7,1
2020-03-18,2020-03-18,Germany,15656,28,2446,4,1
2020-03-19,2020-03-19,Germany,18410,44,2754,16,1
2020-03-20,2020-03-20,Germany,21822,67,3412,23,1
2020-03-21,2020-03-21,Germany,25143,84,3321,17,1
2020-03-22,2020-03-22,Germany,28448,94,3305,10,1
2020-03-23,2020-03-23,Germany,32143,123,3695,29,1
2020-03-24,2020-03-24,Germany,36053,157,3910,34,1
2020-03-25,2020-03-25,Germany,40233,206,4180,49,1
2020-03-26,2020-03-26,Germany,45285,267,5052,61,1
2020-03-27,2020-03-27,Germany,51090,342,5805,75,1
2020-03-28,2020-03-28,Germany,57424,433,6334,91,1
2020-03-29,2020-03-29,Germany,63420,533,5996,100,1
2020-03-30,2020-03-30,Germany,69247,645,5827,112,1
2020-03-31,2020-03-31,Germany,74964,775,5717,130,1
2020-04-01,2020-04-01,Germany,80921,920,5957,145,1
2020-04-02,2020-04-02,Germany,87307,1107,6386,187,1
2020-04-03,2020-04-03,Germany,93842,1275,6535,168,1
2020-04-04,2020-04-04,Germany,100048,1444,6206,169,1
2020-04-05,2020-04-05,Germany,105722,1584,5674,140,1
2020-04-06,2020-04-06,Germany,110756,1810,5034,226,1
2020-04-07,2020-04-07,Germany,115585,2016,4829,206,1
2020-04-08,2020-04-08,Germany,120652,2349,5067,333,1
2020-04-09,2020-04-09,Germany,125681,2607,5029,258,1
2020-04-10,2020-04-10,Germany,130417,2767,4736,160,1
2020-04-11,2020-04-11,Germany,134585,2736,4168,-31,1
2020-04-12,2020-04-12,Germany,138370,3022,3785,286,1
2020-04-13,2020-04-13,Germany,141691,3194,3321,172,1
2020-04-14,2020-04-14,Germany,144485,3294,2794,100,1
2020-04-15,2020-04-15,Germany,147353,3804,2868,510,1
2020-04-16,2020-04-16,Germany,150171,4052,2818,248,1
2020-04-17,2020-04-17,Germany,153167,4352,2996,300,1
2020-04-18,2020-04-18,Germany,155875,4459,2708,107,1
2020-04-19,2020-04-19,Germany,158349,4586,2474,127,1
2020-04-20,2020-04-20,Germany,160659,4862,2310,276,1
2020-04-21,2020-04-21,Germany,162731,5033,2072,171,1
2020-04-22,2020-04-22,Germany,164851,5279,2120,246,1
2020-04-23,2020-04-23,Germany,167046,5575,2195,296,1
2020-04-24,2020-04-24,Germany,169178,5760,2132,185,1
2020-04-25,2020-04-25,Germany,171204,5877,2026,117,1
2020-04-26,2020-04-26,Germany,173109,5976,1905,99,1
2020-04-27,2020-04-27,Germany,174870,6126,1761,150,1
2020-04-28,2020-04-28,Germany,176565,6314,1695,188,1
2020-04-29,2020-04-29,Germany,178305,6467,1740,153,1
2020-04-30,2020-04-30,Germany,180059,6623,1754,156,1
2020-05-01,2020-05-01,Germany,181752,6736,1693,113,1
2020-05-02,2020-05-02,Germany,183360,6812,1608,76,1
2020-05-03,2020-05-03,Germany,184848,6866,1488,54,1
2020-05-04,2020-05-04,Germany,186163,6993,1315,127,1
2020-05-05,2020-05-05,Germany,187488,6993,1325,0,1
2020-05-06,2020-05-06,Germany,188898,7275,1410,282,1
2020-05-07,2020-05-07,Germany,190401,7392,1503,117,1
2020-05-08,2020-05-08,Germany,191959,7510,1558,118,1
2020-05-09,2020-05-09,Germany,193454,7549,1495,39,1
2020-05-10,2020-05-10,Germany,194834,7569,1380,20,1
2020-05-11,2020-05-11,Germany,196184,7661,1350,92,1
2020-05-12,2020-05-12,Germany,197476,7738,1292,77,1
2020-05-13,2020-05-13,Germany,198835,7861,1359,123,1
2020-05-14,2020-05-14,Germany,200036,7884,1201,23,1
2020-05-15,2020-05-15,Germany,201281,7897,1245,13,1
2020-05-16,2020-05-16,Germany,202471,7938,1190,41,1
2020-05-17,2020-05-17,Germany,203664,7962,1193,24,1
2020-05-18,2020-05-18,Germany,204622,8003,958,41,1
2020-05-19,2020-05-19,Germany,205807,8081,1185,78,1
2020-05-20,2020-05-20,Germany,207035,8144,1228,63,1
2020-05-21,2020-05-21,Germany,208239,8203,1204,59,1
2020-05-22,2020-05-22,Germany,209483,8228,1244,25,1
2020-05-23,2020-05-23,Germany,210556,8261,1073,33,1
2020-05-24,2020-05-24,Germany,211539,8283,983,22,1
2020-05-25,2020-05-25,Germany,212412,8309,873,26,1
2020-05-26,2020-05-26,Germany,213374,8372,962,63,1
2020-05-27,2020-05-27,Germany,214269,8428,895,56,1
2020-05-28,2020-05-28,Germany,215281,8470,1012,42,1
2020-05-29,2020-05-29,Germany,216404,8504,1123,34,1
2020-05-30,2020-05-30,Germany,217393,8530,989,26,1
2020-05-31,2020-05-31,Germany,218248,8540,855,10,1
2020-06-01,2020-06-01,Germany,218975,8555,727,15,1
2020-06-02,2020-06-02,Germany,219675,8563,700,8,1
2020-06-03,2020-06-03,Germany,220328,8602,653,39,1
2020-06-04,2020-06-04,Germany,221016,8635,688,33,1
2020-06-05,2020-06-05,Germany,221790,8658,774,23,1
2020-06-06,2020-06-06,Germany,222667,8673,877,15,1
2020-06-07,2020-06-07,Germany,223503,8685,836,12,1
2020-06-08,2020-06-08,Germany,224344,8695,841,10,1
2020-06-09,2020-06-09,Germany,225211,8736,867,41,1
2020-06-10,2020-06-10,Germany,225828,8752,617,16,1
2020-06-11,2020-06-11,Germany,226377,8772,549,20,1
2020-06-12,2020-06-12,Germany,227091,8783,714,11,1
2020-06-13,2020-06-13,Germany,227617,8793,526,10,1
2020-06-14,2020-06-14,Germany,228160,8801,543,8,1
2020-06-15,2020-06-15,Germany,228656,8807,496,6,1
2020-06-16,2020-06-16,Germany,229352,8820,696,13,1
2020-06-17,2020-06-17,Germany,230095,8851,743,31,1
2020-06-18,2020-06-18,Germany,231166,8875,1071,24,1
2020-06-19,2020-06-19,Germany,232267,8887,1101,12,1
2020-06-20,2020-06-20,Germany,233331,8895,1064,8,1
2020-06-21,2020-06-21,Germany,234476,8895,1145,0,1
2020-06-22,2020-06-22,Germany,235635,8899,1159,4,1
2020-06-23,2020-06-23,Germany,236890,8914,1255,15,1
2020-06-24,2020-06-24,Germany,238075,8928,1185,14,1
2020-06-25,2020-06-25,Germany,239260,8940,1185,12,1
2020-06-26,2020-06-26,Germany,240512,8965,1252,25,1
2020-06-27,2020-06-27,Germany,241706,8968,1194,3,1
2020-06-28,2020-06-28,Germany,242741,8968,1035,0,1
2020-06-29,2020-06-29,Germany,243724,8976,983,8,1
2020-06-30,2020-06-30,Germany,244682,8990,958,14,1
2020-07-01,2020-07-01,Germany,245674,8995,992,5,1
2020-07-02,2020-07-02,Germany,246693,9006,1019,11,1
2020-07-03,2020-07-03,Germany,247699,9010,1006,4,1
2020-07-04,2020-07-04,Germany,248699,9020,1000,10,1
2020-07-05,2020-07-05,Germany,249642,9023,943,3,1
2020-07-06,2020-07-06,Germany,250654,9022,1012,-1,1
