date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-02-19,2020-02-19,Iran,8,2,6,2,1
2020-02-20,2020-02-20,Iran,17,2,9,0,1
2020-02-21,2020-02-21,Iran,37,4,20,2,1
2020-02-22,2020-02-22,Iran,63,5,26,1,1
2020-02-23,2020-02-23,Iran,97,8,34,3,1
2020-02-24,2020-02-24,Iran,140,12,43,4,1
2020-02-25,2020-02-25,Iran,204,16,64,4,1
2020-02-26,2020-02-26,Iran,292,19,88,3,1
2020-02-27,2020-02-27,Iran,451,26,159,7,1
2020-02-28,2020-02-28,Iran,695,34,244,8,1
2020-02-29,2020-02-29,Iran,1051,43,356,9,1
2020-03-01,2020-03-01,Iran,1621,54,570,11,1
2020-03-02,2020-03-02,Iran,2438,66,817,12,1
2020-03-03,2020-03-03,Iran,3596,77,1158,11,1
2020-03-04,2020-03-04,Iran,4892,92,1296,15,1
2020-03-05,2020-03-05,Iran,6291,107,1399,15,1
2020-03-06,2020-03-06,Iran,8017,124,1726,17,1
2020-03-07,2020-03-07,Iran,9939,145,1922,21,1
2020-03-08,2020-03-08,Iran,11873,194,1934,49,1
2020-03-09,2020-03-09,Iran,13734,237,1861,43,1
2020-03-10,2020-03-10,Iran,15663,291,1929,54,1
2020-03-11,2020-03-11,Iran,17667,354,2004,63,1
2020-03-12,2020-03-12,Iran,19764,429,2097,75,1
2020-03-13,2020-03-13,Iran,21989,514,2225,85,1
2020-03-14,2020-03-14,Iran,24326,611,2337,97,1
2020-03-15,2020-03-15,Iran,26700,724,2374,113,1
2020-03-16,2020-03-16,Iran,29047,853,2347,129,1
2020-03-17,2020-03-17,Iran,31407,988,2360,135,1
2020-03-18,2020-03-18,Iran,33775,1135,2368,147,1
2020-03-19,2020-03-19,Iran,36097,1284,2322,149,1
2020-03-20,2020-03-20,Iran,38439,1433,2342,149,1
2020-03-21,2020-03-21,Iran,40705,1556,2266,123,1
2020-03-22,2020-03-22,Iran,42931,1685,2226,129,1
2020-03-23,2020-03-23,Iran,45234,1812,2303,127,1
2020-03-24,2020-03-24,Iran,47670,1934,2436,122,1
2020-03-25,2020-03-25,Iran,50288,2077,2618,143,1
2020-03-26,2020-03-26,Iran,53077,2234,2789,157,1
2020-03-27,2020-03-27,Iran,56095,2378,3018,144,1
2020-03-28,2020-03-28,Iran,59316,2517,3221,139,1
2020-03-29,2020-03-29,Iran,62651,2640,3335,123,1
2020-03-30,2020-03-30,Iran,66126,2757,3475,117,1
2020-03-31,2020-03-31,Iran,69686,2898,3560,141,1
2020-04-01,2020-04-01,Iran,73279,3036,3593,138,1
2020-04-02,2020-04-02,Iran,76867,3160,3588,124,1
2020-04-03,2020-04-03,Iran,80413,3294,3546,134,1
2020-04-04,2020-04-04,Iran,83892,3452,3479,158,1
2020-04-05,2020-04-05,Iran,87299,3603,3407,151,1
2020-04-06,2020-04-06,Iran,90609,3739,3310,136,1
2020-04-07,2020-04-07,Iran,93808,3872,3199,133,1
2020-04-08,2020-04-08,Iran,96902,3993,3094,121,1
2020-04-09,2020-04-09,Iran,99844,4110,2942,117,1
2020-04-10,2020-04-10,Iran,102735,4232,2891,122,1
2020-04-11,2020-04-11,Iran,105561,4357,2826,125,1
2020-04-12,2020-04-12,Iran,108303,4474,2742,117,1
2020-04-13,2020-04-13,Iran,110973,4585,2670,111,1
2020-04-14,2020-04-14,Iran,113581,4683,2608,98,1
2020-04-15,2020-04-15,Iran,116129,4777,2548,94,1
2020-04-16,2020-04-16,Iran,118654,4869,2525,92,1
2020-04-17,2020-04-17,Iran,121140,4958,2486,89,1
2020-04-18,2020-04-18,Iran,123569,5031,2429,73,1
2020-04-19,2020-04-19,Iran,125949,5118,2380,87,1
2020-04-20,2020-04-20,Iran,128280,5209,2331,91,1
2020-04-21,2020-04-21,Iran,130578,5297,2298,88,1
2020-04-22,2020-04-22,Iran,132824,5391,2246,94,1
2020-04-23,2020-04-23,Iran,134980,5481,2156,90,1
2020-04-24,2020-04-24,Iran,137114,5574,2134,93,1
2020-04-25,2020-04-25,Iran,139224,5650,2110,76,1
2020-04-26,2020-04-26,Iran,141325,5710,2101,60,1
2020-04-27,2020-04-27,Iran,143368,5806,2043,96,1
2020-04-28,2020-04-28,Iran,145410,5877,2042,71,1
2020-04-29,2020-04-29,Iran,147441,5957,2031,80,1
2020-04-30,2020-04-30,Iran,149435,6028,1994,71,1
2020-05-01,2020-05-01,Iran,151411,6091,1976,63,1
2020-05-02,2020-05-02,Iran,153296,6156,1885,65,1
2020-05-03,2020-05-03,Iran,155182,6203,1886,47,1
2020-05-04,2020-05-04,Iran,157151,6277,1969,74,1
2020-05-05,2020-05-05,Iran,159214,6340,2063,63,1
2020-05-06,2020-05-06,Iran,161433,6418,2219,78,1
2020-05-07,2020-05-07,Iran,163731,6486,2298,68,1
2020-05-08,2020-05-08,Iran,166105,6541,2374,55,1
2020-05-09,2020-05-09,Iran,168530,6589,2425,48,1
2020-05-10,2020-05-10,Iran,170959,6640,2429,51,1
2020-05-11,2020-05-11,Iran,173457,6685,2498,45,1
2020-05-12,2020-05-12,Iran,175963,6733,2506,48,1
2020-05-13,2020-05-13,Iran,178570,6783,2607,50,1
2020-05-14,2020-05-14,Iran,181225,6854,2655,71,1
2020-05-15,2020-05-15,Iran,183969,6902,2744,48,1
2020-05-16,2020-05-16,Iran,186715,6937,2746,35,1
2020-05-17,2020-05-17,Iran,189469,6988,2754,51,1
2020-05-18,2020-05-18,Iran,192316,7057,2847,69,1
2020-05-19,2020-05-19,Iran,195200,7119,2884,62,1
2020-05-20,2020-05-20,Iran,198152,7183,2952,64,1
2020-05-21,2020-05-21,Iran,201162,7249,3010,66,1
2020-05-22,2020-05-22,Iran,204199,7300,3037,51,1
2020-05-23,2020-05-23,Iran,207173,7359,2974,59,1
2020-05-24,2020-05-24,Iran,210153,7417,2980,58,1
2020-05-25,2020-05-25,Iran,213107,7451,2954,34,1
2020-05-26,2020-05-26,Iran,215995,7508,2888,57,1
2020-05-27,2020-05-27,Iran,218885,7564,2890,56,1
2020-05-28,2020-05-28,Iran,221807,7627,2922,63,1
2020-05-29,2020-05-29,Iran,224858,7677,3051,50,1
2020-05-30,2020-05-30,Iran,227907,7734,3049,57,1
2020-05-31,2020-05-31,Iran,230995,7797,3088,63,1
2020-06-01,2020-06-01,Iran,234202,7878,3207,81,1
2020-06-02,2020-06-02,Iran,237527,7942,3325,64,1
2020-06-03,2020-06-03,Iran,240944,8012,3417,70,1
2020-06-04,2020-06-04,Iran,244527,8071,3583,59,1
2020-06-05,2020-06-05,Iran,248086,8134,3559,63,1
2020-06-06,2020-06-06,Iran,251505,8209,3419,75,1
2020-06-07,2020-06-07,Iran,254831,8281,3326,72,1
2020-06-08,2020-06-08,Iran,258024,8351,3193,70,1
2020-06-09,2020-06-09,Iran,261123,8425,3099,74,1
2020-06-10,2020-06-10,Iran,264134,8506,3011,81,1
2020-06-11,2020-06-11,Iran,267116,8584,2982,78,1
2020-06-12,2020-06-12,Iran,270103,8659,2987,75,1
2020-06-13,2020-06-13,Iran,273106,8730,3003,71,1
2020-06-14,2020-06-14,Iran,276130,8837,3024,107,1
2020-06-15,2020-06-15,Iran,279167,8950,3037,113,1
2020-06-16,2020-06-16,Iran,282236,9065,3069,115,1
2020-06-17,2020-06-17,Iran,285339,9185,3103,120,1
2020-06-18,2020-06-18,Iran,288465,9272,3126,87,1
2020-06-19,2020-06-19,Iran,291612,9392,3147,120,1
2020-06-20,2020-06-20,Iran,294721,9507,3109,115,1
2020-06-21,2020-06-21,Iran,297809,9623,3088,116,1
2020-06-22,2020-06-22,Iran,300918,9742,3109,119,1
2020-06-23,2020-06-23,Iran,304020,9863,3102,121,1
2020-06-24,2020-06-24,Iran,307132,9996,3112,133,1
2020-06-25,2020-06-25,Iran,310264,10130,3132,134,1
2020-06-26,2020-06-26,Iran,313417,10239,3153,109,1
2020-06-27,2020-06-27,Iran,316554,10364,3137,125,1
2020-06-28,2020-06-28,Iran,319685,10508,3131,144,1
2020-06-29,2020-06-29,Iran,322819,10670,3134,162,1
2020-06-30,2020-06-30,Iran,325941,10817,3122,147,1
2020-07-01,2020-07-01,Iran,329071,10958,3130,141,1
2020-07-02,2020-07-02,Iran,332226,11106,3155,148,1
2020-07-03,2020-07-03,Iran,335384,11260,3158,154,1
2020-07-04,2020-07-04,Iran,338522,11408,3138,148,1
2020-07-05,2020-07-05,Iran,341666,11571,3144,163,1
2020-07-06,2020-07-06,Iran,344824,11731,3158,160,1
2020-07-07,2020-07-07,Iran,347997,11931,3173,200,1
2020-07-08,2020-07-08,Iran,351191,12084,3194,153,1
2020-07-09,2020-07-09,Iran,354289,12305,3098,221,1
2020-07-10,2020-07-10,Iran,357346,12447,3057,142,1
2020-07-11,2020-07-11,Iran,360396,12635,3050,188,1
2020-07-12,2020-07-12,Iran,363403,12829,3007,194,1
2020-07-13,2020-07-13,Iran,366407,13032,3004,203,1
2020-07-14,2020-07-14,Iran,369441,13211,3034,179,1
2020-07-15,2020-07-15,Iran,372474,13410,3033,199,1
2020-07-16,2020-07-16,Iran,375528,13608,3054,198,1
2020-07-17,2020-07-17,Iran,378576,13791,3048,183,1
2020-07-18,2020-07-18,Iran,381581,13979,3005,188,1
2020-07-19,2020-07-19,Iran,384556,14188,2975,209,1
2020-07-20,2020-07-20,Iran,387550,14405,2994,217,1
2020-07-21,2020-07-21,Iran,390599,14634,3049,229,1
2020-07-22,2020-07-22,Iran,393684,14853,3085,219,1
2020-07-23,2020-07-23,Iran,396803,15074,3119,221,1
2020-07-24,2020-07-24,Iran,399923,15289,3120,215,1
2020-07-25,2020-07-25,Iran,403012,15484,3089,195,1
2020-07-26,2020-07-26,Iran,406079,15700,3067,216,1
2020-07-27,2020-07-27,Iran,409148,15912,3069,212,1
