date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-01-31,2020-01-31,Italy,8,0,6,0,1
2020-02-01,2020-02-01,Italy,106,0,98,0,1
2020-02-02,2020-02-02,Italy,280,0,174,0,1
2020-02-03,2020-02-03,Italy,506,0,226,0,1
2020-02-04,2020-02-04,Italy,767,0,261,0,1
2020-02-05,2020-02-05,Italy,1053,0,286,0,1
2020-02-06,2020-02-06,Italy,1347,0,294,0,1
2020-02-07,2020-02-07,Italy,1602,0,255,0,1
2020-02-08,2020-02-08,Italy,1872,0,270,0,1
2020-02-09,2020-02-09,Italy,2149,0,277,0,1
2020-02-10,2020-02-10,Italy,2436,0,287,0,1
2020-02-11,2020-02-11,Italy,2729,0,293,0,1
2020-02-12,2020-02-12,Italy,3038,0,309,0,1
2020-02-13,2020-02-13,Italy,3351,0,313,0,1
2020-02-14,2020-02-14,Italy,3666,0,315,0,1
2020-02-15,2020-02-15,Italy,3982,0,316,0,1
2020-02-16,2020-02-16,Italy,4283,0,301,0,1
2020-02-17,2020-02-17,Italy,4592,0,309,0,1
2020-02-18,2020-02-18,Italy,4907,0,315,0,1
2020-02-19,2020-02-19,Italy,5231,0,324,0,1
2020-02-20,2020-02-20,Italy,5539,0,308,0,1
2020-02-21,2020-02-21,Italy,5781,1,242,1,1
2020-02-22,2020-02-22,Italy,5994,2,213,1,1
2020-02-23,2020-02-23,Italy,6226,3,232,1,1
2020-02-24,2020-02-24,Italy,6457,7,231,4,1
2020-02-25,2020-02-25,Italy,6703,10,246,3,1
2020-02-26,2020-02-26,Italy,6991,12,288,2,1
2020-02-27,2020-02-27,Italy,7365,17,374,5,1
2020-02-28,2020-02-28,Italy,7828,21,463,4,1
2020-02-29,2020-02-29,Italy,8363,29,535,8,1
2020-03-01,2020-03-01,Italy,9149,34,786,5,1
2020-03-02,2020-03-02,Italy,9998,52,849,18,1
2020-03-03,2020-03-03,Italy,10967,79,969,27,1
2020-03-04,2020-03-04,Italy,12088,107,1121,28,1
2020-03-05,2020-03-05,Italy,13401,148,1313,41,1
2020-03-06,2020-03-06,Italy,14860,197,1459,49,1
2020-03-07,2020-03-07,Italy,16566,233,1706,36,1
2020-03-08,2020-03-08,Italy,18508,366,1942,133,1
2020-03-09,2020-03-09,Italy,20682,463,2174,97,1
2020-03-10,2020-03-10,Italy,22845,631,2163,168,1
2020-03-11,2020-03-11,Italy,25267,827,2422,196,1
2020-03-12,2020-03-12,Italy,27948,1016,2681,189,1
2020-03-13,2020-03-13,Italy,30798,1266,2850,250,1
2020-03-14,2020-03-14,Italy,33989,1441,3191,175,1
2020-03-15,2020-03-15,Italy,37456,1809,3467,368,1
2020-03-16,2020-03-16,Italy,41035,2158,3579,349,1
2020-03-17,2020-03-17,Italy,44760,2503,3725,345,1
2020-03-18,2020-03-18,Italy,48769,2978,4009,475,1
2020-03-19,2020-03-19,Italy,53303,3405,4534,427,1
2020-03-20,2020-03-20,Italy,58425,4032,5122,627,1
2020-03-21,2020-03-21,Italy,64155,4825,5730,793,1
2020-03-22,2020-03-22,Italy,70039,5476,5884,651,1
2020-03-23,2020-03-23,Italy,75798,6077,5759,601,1
2020-03-24,2020-03-24,Italy,81574,6820,5776,743,1
2020-03-25,2020-03-25,Italy,87336,7503,5762,683,1
2020-03-26,2020-03-26,Italy,93365,8215,6029,712,1
2020-03-27,2020-03-27,Italy,99499,9134,6134,919,1
2020-03-28,2020-03-28,Italy,105720,10023,6221,889,1
2020-03-29,2020-03-29,Italy,111772,10779,6052,756,1
2020-03-30,2020-03-30,Italy,117349,11591,5577,812,1
2020-03-31,2020-03-31,Italy,122552,12428,5203,837,1
2020-04-01,2020-04-01,Italy,127665,13155,5113,727,1
2020-04-02,2020-04-02,Italy,132674,13915,5009,760,1
2020-04-03,2020-04-03,Italy,137578,14681,4904,766,1
2020-04-04,2020-04-04,Italy,142463,15362,4885,681,1
2020-04-05,2020-04-05,Italy,147195,15887,4732,525,1
2020-04-06,2020-04-06,Italy,151616,16523,4421,636,1
2020-04-07,2020-04-07,Italy,155660,17127,4044,604,1
2020-04-08,2020-04-08,Italy,159618,17669,3958,542,1
2020-04-09,2020-04-09,Italy,163615,18279,3997,610,1
2020-04-10,2020-04-10,Italy,167579,18849,3964,570,1
2020-04-11,2020-04-11,Italy,171729,19468,4150,619,1
2020-04-12,2020-04-12,Italy,175859,19899,4130,431,1
2020-04-13,2020-04-13,Italy,179733,20465,3874,566,1
2020-04-14,2020-04-14,Italy,183370,21067,3637,602,1
2020-04-15,2020-04-15,Italy,186761,21645,3391,578,1
2020-04-16,2020-04-16,Italy,190238,22170,3477,525,1
2020-04-17,2020-04-17,Italy,193712,22745,3474,575,1
2020-04-18,2020-04-18,Italy,197189,23227,3477,482,1
2020-04-19,2020-04-19,Italy,200564,23660,3375,433,1
