date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-01-22,2020-01-22,Japan,4,0,2,0,1
2020-01-23,2020-01-23,Japan,8,0,4,0,1
2020-01-24,2020-01-24,Japan,14,0,6,0,1
2020-01-25,2020-01-25,Japan,21,0,7,0,1
2020-01-26,2020-01-26,Japan,29,0,8,0,1
2020-01-27,2020-01-27,Japan,38,0,9,0,1
2020-01-28,2020-01-28,Japan,48,0,10,0,1
2020-01-29,2020-01-29,Japan,58,0,10,0,1
2020-01-30,2020-01-30,Japan,70,0,12,0,1
2020-01-31,2020-01-31,Japan,83,0,13,0,1
2020-02-01,2020-02-01,Japan,98,0,15,0,1
2020-02-02,2020-02-02,Japan,111,0,13,0,1
2020-02-03,2020-02-03,Japan,124,0,13,0,1
2020-02-04,2020-02-04,Japan,136,0,12,0,1
2020-02-05,2020-02-05,Japan,146,0,10,0,1
2020-02-06,2020-02-06,Japan,156,0,10,0,1
2020-02-07,2020-02-07,Japan,166,0,10,0,1
2020-02-08,2020-02-08,Japan,174,0,8,0,1
2020-02-09,2020-02-09,Japan,182,0,8,0,1
2020-02-10,2020-02-10,Japan,190,0,8,0,1
2020-02-11,2020-02-11,Japan,196,0,6,0,1
2020-02-12,2020-02-12,Japan,201,0,5,0,1
2020-02-13,2020-02-13,Japan,209,1,8,1,1
2020-02-14,2020-02-14,Japan,223,1,14,0,1
2020-02-15,2020-02-15,Japan,243,1,20,0,1
2020-02-16,2020-02-16,Japan,263,1,20,0,1
2020-02-17,2020-02-17,Japan,284,1,21,0,1
2020-02-18,2020-02-18,Japan,310,2,26,1,1
2020-02-19,2020-02-19,Japan,335,2,25,0,1
2020-02-20,2020-02-20,Japan,362,2,27,0,1
2020-02-21,2020-02-21,Japan,396,2,34,0,1
2020-02-22,2020-02-22,Japan,441,2,45,0,1
2020-02-23,2020-02-23,Japan,485,2,44,0,1
2020-02-24,2020-02-24,Japan,527,2,42,0,1
2020-02-25,2020-02-25,Japan,569,3,42,1,1
2020-02-26,2020-02-26,Japan,616,3,47,0,1
2020-02-27,2020-02-27,Japan,671,4,55,1,1
2020-02-28,2020-02-28,Japan,727,5,56,1,1
2020-02-29,2020-02-29,Japan,775,6,48,1,1
2020-03-01,2020-03-01,Japan,822,6,47,0,1
2020-03-02,2020-03-02,Japan,872,6,50,0,1
2020-03-03,2020-03-03,Japan,924,6,52,0,1
2020-03-04,2020-03-04,Japan,989,7,65,1,1
2020-03-05,2020-03-05,Japan,1062,7,73,0,1
2020-03-06,2020-03-06,Japan,1155,7,93,0,1
2020-03-07,2020-03-07,Japan,1258,7,103,0,1
2020-03-08,2020-03-08,Japan,1360,8,102,1,1
2020-03-09,2020-03-09,Japan,1457,10,97,2,1
2020-03-10,2020-03-10,Japan,1569,13,112,3,1
2020-03-11,2020-03-11,Japan,1690,15,121,2,1
2020-03-12,2020-03-12,Japan,1818,19,128,4,1
2020-03-13,2020-03-13,Japan,1940,21,122,2,1
2020-03-14,2020-03-14,Japan,2072,22,132,1,1
2020-03-15,2020-03-15,Japan,2192,24,120,2,1
2020-03-16,2020-03-16,Japan,2293,30,101,6,1
2020-03-17,2020-03-17,Japan,2401,30,108,0,1
2020-03-18,2020-03-18,Japan,2505,32,104,2,1
2020-03-19,2020-03-19,Japan,2609,33,104,1,1
2020-03-20,2020-03-20,Japan,2722,34,113,1,1
2020-03-21,2020-03-21,Japan,2831,36,109,2,1
2020-03-22,2020-03-22,Japan,2942,40,111,4,1
2020-03-23,2020-03-23,Japan,3051,41,109,1,1
2020-03-24,2020-03-24,Japan,3176,42,125,1,1
2020-03-25,2020-03-25,Japan,3324,45,148,3,1
2020-03-26,2020-03-26,Japan,3490,47,166,2,1
2020-03-27,2020-03-27,Japan,3674,53,184,6,1
2020-03-28,2020-03-28,Japan,3890,56,216,3,1
2020-03-29,2020-03-29,Japan,4126,63,236,7,1
2020-03-30,2020-03-30,Japan,4356,65,230,2,1
2020-03-31,2020-03-31,Japan,4615,67,259,2,1
2020-04-01,2020-04-01,Japan,4902,72,287,5,1
2020-04-02,2020-04-02,Japan,5209,75,307,3,1
2020-04-03,2020-04-03,Japan,5543,81,334,6,1
2020-04-04,2020-04-04,Japan,5905,87,362,6,1
2020-04-05,2020-04-05,Japan,6283,93,378,6,1
2020-04-06,2020-04-06,Japan,6647,96,364,3,1
2020-04-07,2020-04-07,Japan,7030,98,383,2,1
2020-04-08,2020-04-08,Japan,7469,105,439,7,1
2020-04-09,2020-04-09,Japan,7968,113,499,8,1
2020-04-10,2020-04-10,Japan,8524,125,556,12,1
2020-04-11,2020-04-11,Japan,9142,138,618,13,1
2020-04-12,2020-04-12,Japan,9753,147,611,9,1
2020-04-13,2020-04-13,Japan,10300,156,547,9,1
2020-04-14,2020-04-14,Japan,10848,170,548,14,1
2020-04-15,2020-04-15,Japan,11411,186,563,16,1
2020-04-16,2020-04-16,Japan,11985,204,574,18,1
2020-04-17,2020-04-17,Japan,12567,217,582,13,1
2020-04-18,2020-04-18,Japan,13162,236,595,19,1
2020-04-19,2020-04-19,Japan,13705,255,543,19,1
2020-04-20,2020-04-20,Japan,14201,275,496,20,1
2020-04-21,2020-04-21,Japan,14670,303,469,28,1
2020-04-22,2020-04-22,Japan,15122,323,452,20,1
2020-04-23,2020-04-23,Japan,15570,351,448,28,1
2020-04-24,2020-04-24,Japan,16003,360,433,9,1
2020-04-25,2020-04-25,Japan,16412,379,409,19,1
2020-04-26,2020-04-26,Japan,16780,395,368,16,1
2020-04-27,2020-04-27,Japan,17108,417,328,22,1
2020-04-28,2020-04-28,Japan,17427,436,319,19,1
2020-04-29,2020-04-29,Japan,17727,454,300,18,1
2020-04-30,2020-04-30,Japan,18012,481,285,27,1
2020-05-01,2020-05-01,Japan,18298,510,286,29,1
2020-05-02,2020-05-02,Japan,18592,536,294,26,1
2020-05-03,2020-05-03,Japan,18874,560,282,24,1
2020-05-04,2020-05-04,Japan,19141,582,267,22,1
2020-05-05,2020-05-05,Japan,19387,593,246,11,1
2020-05-06,2020-05-06,Japan,19611,605,224,12,1
2020-05-07,2020-05-07,Japan,19817,617,206,12,1
2020-05-08,2020-05-08,Japan,20007,634,190,17,1
2020-05-09,2020-05-09,Japan,20194,654,187,20,1
2020-05-10,2020-05-10,Japan,20363,666,169,12,1
2020-05-11,2020-05-11,Japan,20501,685,138,19,1
2020-05-12,2020-05-12,Japan,20642,707,141,22,1
2020-05-13,2020-05-13,Japan,20768,726,126,19,1
2020-05-14,2020-05-14,Japan,20906,742,138,16,1
2020-05-15,2020-05-15,Japan,21033,760,127,18,1
2020-05-16,2020-05-16,Japan,21153,778,120,18,1
2020-05-17,2020-05-17,Japan,21250,787,97,9,1
2020-05-18,2020-05-18,Japan,21335,796,85,9,1
2020-05-19,2020-05-19,Japan,21409,805,74,9,1
2020-05-20,2020-05-20,Japan,21480,818,71,13,1
2020-05-21,2020-05-21,Japan,21553,826,73,8,1
2020-05-22,2020-05-22,Japan,21617,836,64,10,1
2020-05-23,2020-05-23,Japan,21675,845,58,9,1
2020-05-24,2020-05-24,Japan,21741,852,66,7,1
2020-05-25,2020-05-25,Japan,21799,857,58,5,1
2020-05-26,2020-05-26,Japan,21859,863,60,6,1
2020-05-27,2020-05-27,Japan,21917,870,58,7,1
2020-05-28,2020-05-28,Japan,22001,881,84,11,1
2020-05-29,2020-05-29,Japan,22107,887,106,6,1
2020-05-30,2020-05-30,Japan,22213,894,106,7,1
2020-05-31,2020-05-31,Japan,22315,898,102,4,1
2020-06-01,2020-06-01,Japan,22414,899,99,1,1
2020-06-02,2020-06-02,Japan,22519,902,105,3,1
2020-06-03,2020-06-03,Japan,22616,905,97,3,1
2020-06-04,2020-06-04,Japan,22717,911,101,6,1
2020-06-05,2020-06-05,Japan,22822,916,105,5,1
2020-06-06,2020-06-06,Japan,22927,915,105,-1,1
2020-06-07,2020-06-07,Japan,23031,917,104,2,1
2020-06-08,2020-06-08,Japan,23121,920,90,3,1
2020-06-09,2020-06-09,Japan,23220,920,99,0,1
2020-06-10,2020-06-10,Japan,23316,922,96,2,1
2020-06-11,2020-06-11,Japan,23414,922,98,0,1
2020-06-12,2020-06-12,Japan,23526,924,112,2,1
2020-06-13,2020-06-13,Japan,23638,927,112,3,1
2020-06-14,2020-06-14,Japan,23767,927,129,0,1
2020-06-15,2020-06-15,Japan,23906,929,139,2,1
2020-06-16,2020-06-16,Japan,24039,934,133,5,1
2020-06-17,2020-06-17,Japan,24168,935,129,1,1
2020-06-18,2020-06-18,Japan,24301,935,133,0,1
2020-06-19,2020-06-19,Japan,24442,951,141,16,1
2020-06-20,2020-06-20,Japan,24588,955,146,4,1
2020-06-21,2020-06-21,Japan,24732,955,144,0,1
2020-06-22,2020-06-22,Japan,24865,955,133,0,1
2020-06-23,2020-06-23,Japan,25000,965,135,10,1
2020-06-24,2020-06-24,Japan,25149,967,149,2,1
2020-06-25,2020-06-25,Japan,25311,971,162,4,1
2020-06-26,2020-06-26,Japan,25488,971,177,0,1
2020-06-27,2020-06-27,Japan,25672,971,184,0,1
2020-06-28,2020-06-28,Japan,25867,972,195,1,1
2020-06-29,2020-06-29,Japan,26070,972,203,0,1
2020-06-30,2020-06-30,Japan,26286,972,216,0,1
2020-07-01,2020-07-01,Japan,26528,976,242,4,1
2020-07-02,2020-07-02,Japan,26789,977,261,1,1
2020-07-03,2020-07-03,Japan,27046,977,257,0,1
2020-07-04,2020-07-04,Japan,27328,977,282,0,1
2020-07-05,2020-07-05,Japan,27616,977,288,0,1
2020-07-06,2020-07-06,Japan,27903,978,287,1,1
2020-07-07,2020-07-07,Japan,28193,981,290,3,1
2020-07-08,2020-07-08,Japan,28485,982,292,1,1
2020-07-09,2020-07-09,Japan,28809,982,324,0,1
2020-07-10,2020-07-10,Japan,29175,982,366,0,1
2020-07-11,2020-07-11,Japan,29561,982,386,0,1
2020-07-12,2020-07-12,Japan,29969,983,408,1,1
2020-07-13,2020-07-13,Japan,30363,984,394,1,1
2020-07-14,2020-07-14,Japan,30751,984,388,0,1
2020-07-15,2020-07-15,Japan,31250,984,499,0,1
2020-07-16,2020-07-16,Japan,31723,985,473,1,1
2020-07-17,2020-07-17,Japan,32244,985,521,0,1
2020-07-18,2020-07-18,Japan,32875,986,631,1,1
2020-07-19,2020-07-19,Japan,33488,986,613,0,1
2020-07-20,2020-07-20,Japan,34027,988,539,2,1
2020-07-21,2020-07-21,Japan,34641,988,614,0,1
2020-07-22,2020-07-22,Japan,35287,990,646,2,1
2020-07-23,2020-07-23,Japan,36047,992,760,2,1
2020-07-24,2020-07-24,Japan,36831,994,784,2,1
2020-07-25,2020-07-25,Japan,37641,996,810,2,1
2020-07-26,2020-07-26,Japan,38488,998,847,2,1
2020-07-27,2020-07-27,Japan,39281,998,793,0,1
