date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-02-28,2020-02-28,Mexico,4,0,3,0,1
2020-02-29,2020-02-29,Mexico,13,0,9,0,1
2020-03-01,2020-03-01,Mexico,24,0,11,0,1
2020-03-02,2020-03-02,Mexico,39,0,15,0,1
2020-03-03,2020-03-03,Mexico,58,0,19,0,1
2020-03-04,2020-03-04,Mexico,78,0,20,0,1
2020-03-05,2020-03-05,Mexico,100,0,22,0,1
2020-03-06,2020-03-06,Mexico,119,0,19,0,1
2020-03-07,2020-03-07,Mexico,139,0,20,0,1
2020-03-08,2020-03-08,Mexico,157,0,18,0,1
2020-03-09,2020-03-09,Mexico,176,0,19,0,1
2020-03-10,2020-03-10,Mexico,196,0,20,0,1
2020-03-11,2020-03-11,Mexico,213,0,17,0,1
2020-03-12,2020-03-12,Mexico,230,0,17,0,1
2020-03-13,2020-03-13,Mexico,256,0,26,0,1
2020-03-14,2020-03-14,Mexico,289,0,33,0,1
2020-03-15,2020-03-15,Mexico,325,0,36,0,1
2020-03-16,2020-03-16,Mexico,378,0,53,0,1
2020-03-17,2020-03-17,Mexico,428,0,50,0,1
2020-03-18,2020-03-18,Mexico,488,0,60,0,1
2020-03-19,2020-03-19,Mexico,574,1,86,1,1
2020-03-20,2020-03-20,Mexico,674,2,100,1,1
2020-03-21,2020-03-21,Mexico,791,2,117,0,1
2020-03-22,2020-03-22,Mexico,937,3,146,1,1
2020-03-23,2020-03-23,Mexico,1091,4,154,1,1
2020-03-24,2020-03-24,Mexico,1240,5,149,1,1
2020-03-25,2020-03-25,Mexico,1412,6,172,1,1
2020-03-26,2020-03-26,Mexico,1636,8,224,2,1
2020-03-27,2020-03-27,Mexico,1918,12,282,4,1
2020-03-28,2020-03-28,Mexico,2242,16,324,4,1
2020-03-29,2020-03-29,Mexico,2610,20,368,4,1
2020-03-30,2020-03-30,Mexico,2972,28,362,8,1
2020-03-31,2020-03-31,Mexico,3345,29,373,1,1
2020-04-01,2020-04-01,Mexico,3761,37,416,8,1
2020-04-02,2020-04-02,Mexico,4182,50,421,13,1
2020-04-03,2020-04-03,Mexico,4644,60,462,10,1
2020-04-04,2020-04-04,Mexico,5156,79,512,19,1
2020-04-05,2020-04-05,Mexico,5746,94,590,15,1
2020-04-06,2020-04-06,Mexico,6427,125,681,31,1
2020-04-07,2020-04-07,Mexico,7215,141,788,16,1
2020-04-08,2020-04-08,Mexico,8119,174,904,33,1
2020-04-09,2020-04-09,Mexico,9007,194,888,20,1
2020-04-10,2020-04-10,Mexico,9987,233,980,39,1
2020-04-11,2020-04-11,Mexico,11014,273,1027,40,1
2020-04-12,2020-04-12,Mexico,12122,296,1108,23,1
2020-04-13,2020-04-13,Mexico,13225,332,1103,36,1
2020-04-14,2020-04-14,Mexico,14344,406,1119,74,1
2020-04-15,2020-04-15,Mexico,15517,449,1173,43,1
2020-04-16,2020-04-16,Mexico,16730,486,1213,37,1
2020-04-17,2020-04-17,Mexico,18058,546,1328,60,1
2020-04-18,2020-04-18,Mexico,19500,650,1442,104,1
2020-04-19,2020-04-19,Mexico,21113,686,1613,36,1
2020-04-20,2020-04-20,Mexico,22693,712,1580,26,1
2020-04-21,2020-04-21,Mexico,24383,857,1690,145,1
2020-04-22,2020-04-22,Mexico,26322,970,1939,113,1
2020-04-23,2020-04-23,Mexico,28471,1069,2149,99,1
2020-04-24,2020-04-24,Mexico,30842,1221,2371,152,1
2020-04-25,2020-04-25,Mexico,33253,1305,2411,84,1
2020-04-26,2020-04-26,Mexico,35615,1351,2362,46,1
2020-04-27,2020-04-27,Mexico,37942,1434,2327,83,1
2020-04-28,2020-04-28,Mexico,40416,1569,2474,135,1
2020-04-29,2020-04-29,Mexico,42919,1732,2503,163,1
2020-04-30,2020-04-30,Mexico,45599,1859,2680,127,1
2020-05-01,2020-05-01,Mexico,48442,1972,2843,113,1
2020-05-02,2020-05-02,Mexico,51344,2061,2902,89,1
2020-05-03,2020-05-03,Mexico,54297,2154,2953,93,1
2020-05-04,2020-05-04,Mexico,57303,2271,3006,117,1
2020-05-05,2020-05-05,Mexico,60213,2507,2910,236,1
2020-05-06,2020-05-06,Mexico,63235,2704,3022,197,1
2020-05-07,2020-05-07,Mexico,66448,2961,3213,257,1
2020-05-08,2020-05-08,Mexico,69783,3160,3335,199,1
2020-05-09,2020-05-09,Mexico,73215,3353,3432,193,1
2020-05-10,2020-05-10,Mexico,76602,3465,3387,112,1
2020-05-11,2020-05-11,Mexico,79853,3573,3251,108,1
2020-05-12,2020-05-12,Mexico,83218,3926,3365,353,1
2020-05-13,2020-05-13,Mexico,86631,4220,3413,294,1
2020-05-14,2020-05-14,Mexico,90210,4477,3579,257,1
2020-05-15,2020-05-15,Mexico,93918,4767,3708,290,1
2020-05-16,2020-05-16,Mexico,97648,5045,3730,278,1
2020-05-17,2020-05-17,Mexico,101380,5177,3732,132,1
2020-05-18,2020-05-18,Mexico,105187,5332,3807,155,1
2020-05-19,2020-05-19,Mexico,109107,5666,3920,334,1
2020-05-20,2020-05-20,Mexico,113013,6090,3906,424,1
2020-05-21,2020-05-21,Mexico,117049,6510,4036,420,1
2020-05-22,2020-05-22,Mexico,121178,6989,4129,479,1
2020-05-23,2020-05-23,Mexico,125441,7179,4263,190,1
2020-05-24,2020-05-24,Mexico,129699,7394,4258,215,1
2020-05-25,2020-05-25,Mexico,133892,7633,4193,239,1
2020-05-26,2020-05-26,Mexico,138212,8134,4320,501,1
2020-05-27,2020-05-27,Mexico,142627,8597,4415,463,1
2020-05-28,2020-05-28,Mexico,147096,9044,4469,447,1
2020-05-29,2020-05-29,Mexico,151575,9415,4479,371,1
2020-05-30,2020-05-30,Mexico,155994,9779,4419,364,1
2020-05-31,2020-05-31,Mexico,160412,9930,4418,151,1
2020-06-01,2020-06-01,Mexico,164756,10167,4344,237,1
2020-06-02,2020-06-02,Mexico,169245,10637,4489,470,1
2020-06-03,2020-06-03,Mexico,173847,11729,4602,1092,1
2020-06-04,2020-06-04,Mexico,178637,12545,4790,816,1
2020-06-05,2020-06-05,Mexico,183549,13170,4912,625,1
2020-06-06,2020-06-06,Mexico,188407,13511,4858,341,1
2020-06-07,2020-06-07,Mexico,193199,13699,4792,188,1
2020-06-08,2020-06-08,Mexico,197848,14053,4649,354,1
2020-06-09,2020-06-09,Mexico,202606,14649,4758,596,1
2020-06-10,2020-06-10,Mexico,207588,15357,4982,708,1
2020-06-11,2020-06-11,Mexico,212720,15944,5132,587,1
2020-06-12,2020-06-12,Mexico,218060,16448,5340,504,1
2020-06-13,2020-06-13,Mexico,223205,16872,5145,424,1
2020-06-14,2020-06-14,Mexico,228317,17141,5112,269,1
2020-06-15,2020-06-15,Mexico,233266,17580,4949,439,1
2020-06-16,2020-06-16,Mexico,238312,18310,5046,730,1
2020-06-17,2020-06-17,Mexico,243502,19080,5190,770,1
2020-06-18,2020-06-18,Mexico,248970,19747,5468,667,1
2020-06-19,2020-06-19,Mexico,254503,20394,5533,647,1
2020-06-20,2020-06-20,Mexico,260013,20781,5510,387,1
2020-06-21,2020-06-21,Mexico,265640,21825,5627,1044,1
2020-06-22,2020-06-22,Mexico,271184,22584,5544,759,1
2020-06-23,2020-06-23,Mexico,277061,23377,5877,793,1
2020-06-24,2020-06-24,Mexico,282981,24324,5920,947,1
2020-06-25,2020-06-25,Mexico,289092,25060,6111,736,1
2020-06-26,2020-06-26,Mexico,295183,25779,6091,719,1
2020-06-27,2020-06-27,Mexico,301026,26381,5843,602,1
2020-06-28,2020-06-28,Mexico,306602,26648,5576,267,1
2020-06-29,2020-06-29,Mexico,311924,27121,5322,473,1
2020-06-30,2020-06-30,Mexico,317390,27769,5466,648,1
2020-07-01,2020-07-01,Mexico,323028,28510,5638,741,1
2020-07-02,2020-07-02,Mexico,329068,29189,6040,679,1
2020-07-03,2020-07-03,Mexico,335417,29843,6349,654,1
2020-07-04,2020-07-04,Mexico,342046,30366,6629,523,1
2020-07-05,2020-07-05,Mexico,348342,30639,6296,273,1
2020-07-06,2020-07-06,Mexico,354421,31119,6079,480,1
2020-07-07,2020-07-07,Mexico,360653,32014,6232,895,1
2020-07-08,2020-07-08,Mexico,367195,32796,6542,782,1
