date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-02-25,2020-02-25,Pakistan,8,0,6,0,1
2020-02-26,2020-02-26,Pakistan,20,0,12,0,1
2020-02-27,2020-02-27,Pakistan,38,0,18,0,1
2020-02-28,2020-02-28,Pakistan,56,0,18,0,1
2020-02-29,2020-02-29,Pakistan,79,0,23,0,1
2020-03-01,2020-03-01,Pakistan,106,0,27,0,1
2020-03-02,2020-03-02,Pakistan,129,0,23,0,1
2020-03-03,2020-03-03,Pakistan,154,0,25,0,1
2020-03-04,2020-03-04,Pakistan,186,0,32,0,1
2020-03-05,2020-03-05,Pakistan,212,0,26,0,1
2020-03-06,2020-03-06,Pakistan,244,0,32,0,1
2020-03-07,2020-03-07,Pakistan,283,0,39,0,1
2020-03-08,2020-03-08,Pakistan,330,0,47,0,1
2020-03-09,2020-03-09,Pakistan,375,0,45,0,1
2020-03-10,2020-03-10,Pakistan,412,0,37,0,1
2020-03-11,2020-03-11,Pakistan,440,0,28,0,1
2020-03-12,2020-03-12,Pakistan,468,0,28,0,1
2020-03-13,2020-03-13,Pakistan,491,0,23,0,1
2020-03-14,2020-03-14,Pakistan,527,0,36,0,1
2020-03-15,2020-03-15,Pakistan,626,0,99,0,1
2020-03-16,2020-03-16,Pakistan,788,0,162,0,1
2020-03-17,2020-03-17,Pakistan,966,0,178,0,1
2020-03-18,2020-03-18,Pakistan,1233,2,267,2,1
2020-03-19,2020-03-19,Pakistan,1476,3,243,1,1
2020-03-20,2020-03-20,Pakistan,1848,3,372,0,1
2020-03-21,2020-03-21,Pakistan,2169,5,321,2,1
2020-03-22,2020-03-22,Pakistan,2494,6,325,1,1
2020-03-23,2020-03-23,Pakistan,2819,7,325,1,1
2020-03-24,2020-03-24,Pakistan,3137,8,318,1,1
2020-03-25,2020-03-25,Pakistan,3488,9,351,1,1
2020-03-26,2020-03-26,Pakistan,3891,11,403,2,1
2020-03-27,2020-03-27,Pakistan,4292,12,401,1,1
2020-03-28,2020-03-28,Pakistan,4674,14,382,2,1
