date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-03-06,2020-03-06,Peru,4,0,3,0,1
2020-03-07,2020-03-07,Peru,16,0,12,0,1
2020-03-08,2020-03-08,Peru,36,0,20,0,1
2020-03-09,2020-03-09,Peru,57,0,21,0,1
2020-03-10,2020-03-10,Peru,81,0,24,0,1
2020-03-11,2020-03-11,Peru,114,0,33,0,1
2020-03-12,2020-03-12,Peru,146,0,32,0,1
2020-03-13,2020-03-13,Peru,185,0,39,0,1
2020-03-14,2020-03-14,Peru,226,0,41,0,1
2020-03-15,2020-03-15,Peru,264,0,38,0,1
2020-03-16,2020-03-16,Peru,333,0,69,0,1
2020-03-17,2020-03-17,Peru,415,0,82,0,1
2020-03-18,2020-03-18,Peru,503,0,88,0,1
2020-03-19,2020-03-19,Peru,649,0,146,0,1
2020-03-20,2020-03-20,Peru,797,3,148,3,1
2020-03-21,2020-03-21,Peru,983,5,186,2,1
2020-03-22,2020-03-22,Peru,1164,5,181,0,1
2020-03-23,2020-03-23,Peru,1328,5,164,0,1
2020-03-24,2020-03-24,Peru,1469,7,141,2,1
2020-03-25,2020-03-25,Peru,1629,9,160,2,1
2020-03-26,2020-03-26,Peru,1834,9,205,0,1
2020-03-27,2020-03-27,Peru,2034,11,200,2,1
2020-03-28,2020-03-28,Peru,2213,16,179,5,1
2020-03-29,2020-03-29,Peru,2499,18,286,2,1
2020-03-30,2020-03-30,Peru,2797,24,298,6,1
2020-03-31,2020-03-31,Peru,3118,30,321,6,1
2020-04-01,2020-04-01,Peru,3573,38,455,8,1
2020-04-02,2020-04-02,Peru,3991,55,418,17,1
2020-04-03,2020-04-03,Peru,4455,61,464,6,1
2020-04-04,2020-04-04,Peru,4928,73,473,12,1
2020-04-05,2020-04-05,Peru,5697,83,769,10,1
2020-04-06,2020-04-06,Peru,6506,92,809,9,1
2020-04-07,2020-04-07,Peru,7428,107,922,15,1
2020-04-08,2020-04-08,Peru,8982,121,1554,14,1
2020-04-09,2020-04-09,Peru,10800,138,1818,17,1
2020-04-10,2020-04-10,Peru,12654,169,1854,31,1
2020-04-11,2020-04-11,Peru,14706,181,2052,12,1
2020-04-12,2020-04-12,Peru,16741,193,2035,12,1
2020-04-13,2020-04-13,Peru,19379,216,2638,23,1
2020-04-14,2020-04-14,Peru,21749,230,2370,14,1
2020-04-15,2020-04-15,Peru,24270,254,2521,24,1
2020-04-16,2020-04-16,Peru,26824,274,2554,20,1
2020-04-17,2020-04-17,Peru,29386,300,2562,26,1
2020-04-18,2020-04-18,Peru,31911,348,2525,48,1
2020-04-19,2020-04-19,Peru,34535,400,2624,52,1
2020-04-20,2020-04-20,Peru,36961,445,2426,45,1
2020-04-21,2020-04-21,Peru,39618,484,2657,39,1
2020-04-22,2020-04-22,Peru,42412,530,2794,46,1
2020-04-23,2020-04-23,Peru,45396,572,2984,42,1
2020-04-24,2020-04-24,Peru,48099,634,2703,62,1
2020-04-25,2020-04-25,Peru,51439,700,3340,66,1
2020-04-26,2020-04-26,Peru,54973,728,3534,28,1
2020-04-27,2020-04-27,Peru,58316,782,3343,54,1
2020-04-28,2020-04-28,Peru,61905,854,3589,72,1
2020-04-29,2020-04-29,Peru,65727,943,3822,89,1
2020-04-30,2020-04-30,Peru,69779,1051,4052,108,1
2020-05-01,2020-05-01,Peru,74078,1124,4299,73,1
2020-05-02,2020-05-02,Peru,78275,1200,4197,76,1
2020-05-03,2020-05-03,Peru,82651,1286,4376,86,1
2020-05-04,2020-05-04,Peru,86693,1344,4042,58,1
2020-05-05,2020-05-05,Peru,91009,1444,4316,100,1
2020-05-06,2020-05-06,Peru,95497,1533,4488,89,1
2020-05-07,2020-05-07,Peru,100125,1627,4628,94,1
2020-05-08,2020-05-08,Peru,104783,1714,4658,87,1
2020-05-09,2020-05-09,Peru,109429,1814,4646,100,1
2020-05-10,2020-05-10,Peru,113885,1889,4456,75,1
2020-05-11,2020-05-11,Peru,117965,1961,4080,72,1
2020-05-12,2020-05-12,Peru,122161,2057,4196,96,1
2020-05-13,2020-05-13,Peru,126631,2169,4470,112,1
2020-05-14,2020-05-14,Peru,131321,2267,4690,98,1
2020-05-15,2020-05-15,Peru,136099,2392,4778,125,1
2020-05-16,2020-05-16,Peru,140968,2523,4869,131,1
2020-05-17,2020-05-17,Peru,145845,2648,4877,125,1
2020-05-18,2020-05-18,Peru,150524,2789,4679,141,1
2020-05-19,2020-05-19,Peru,155402,2914,4878,125,1
2020-05-20,2020-05-20,Peru,160427,3024,5025,110,1
2020-05-21,2020-05-21,Peru,165606,3148,5179,124,1
2020-05-22,2020-05-22,Peru,170554,3244,4948,96,1
2020-05-23,2020-05-23,Peru,175525,3373,4971,129,1
2020-05-24,2020-05-24,Peru,180540,3456,5015,83,1
2020-05-25,2020-05-25,Peru,185550,3629,5010,173,1
2020-05-26,2020-05-26,Peru,190929,3788,5379,159,1
2020-05-27,2020-05-27,Peru,196683,3983,5754,195,1
2020-05-28,2020-05-28,Peru,202652,4099,5969,116,1
2020-05-29,2020-05-29,Peru,208937,4230,6285,131,1
2020-05-30,2020-05-30,Peru,215692,4371,6755,141,1
2020-05-31,2020-05-31,Peru,223199,4506,7507,135,1
