date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-01-31,2020-01-31,Russia,8,0,6,0,1
2020-02-01,2020-02-01,Russia,16,0,8,0,1
2020-02-02,2020-02-02,Russia,28,0,12,0,1
2020-02-03,2020-02-03,Russia,42,0,14,0,1
2020-02-04,2020-02-04,Russia,58,0,16,0,1
2020-02-05,2020-02-05,Russia,75,0,17,0,1
2020-02-06,2020-02-06,Russia,93,0,18,0,1
2020-02-07,2020-02-07,Russia,110,0,17,0,1
2020-02-08,2020-02-08,Russia,127,0,17,0,1
2020-02-09,2020-02-09,Russia,145,0,18,0,1
2020-02-10,2020-02-10,Russia,163,0,18,0,1
2020-02-11,2020-02-11,Russia,182,0,19,0,1
2020-02-12,2020-02-12,Russia,202,0,20,0,1
2020-02-13,2020-02-13,Russia,222,0,20,0,1
2020-02-14,2020-02-14,Russia,243,0,21,0,1
2020-02-15,2020-02-15,Russia,263,0,20,0,1
2020-02-16,2020-02-16,Russia,283,0,20,0,1
2020-02-17,2020-02-17,Russia,303,0,20,0,1
2020-02-18,2020-02-18,Russia,324,0,21,0,1
2020-02-19,2020-02-19,Russia,345,0,21,0,1
2020-02-20,2020-02-20,Russia,366,0,21,0,1
2020-02-21,2020-02-21,Russia,389,0,23,0,1
2020-02-22,2020-02-22,Russia,411,0,22,0,1
2020-02-23,2020-02-23,Russia,433,0,22,0,1
2020-02-24,2020-02-24,Russia,455,0,22,0,1
2020-02-25,2020-02-25,Russia,475,0,20,0,1
2020-02-26,2020-02-26,Russia,493,0,18,0,1
2020-02-27,2020-02-27,Russia,511,0,18,0,1
2020-02-28,2020-02-28,Russia,529,0,18,0,1
2020-02-29,2020-02-29,Russia,547,0,18,0,1
2020-03-01,2020-03-01,Russia,567,0,20,0,1
2020-03-02,2020-03-02,Russia,582,0,15,0,1
2020-03-03,2020-03-03,Russia,600,0,18,0,1
2020-03-04,2020-03-04,Russia,621,0,21,0,1
2020-03-05,2020-03-05,Russia,636,0,15,0,1
2020-03-06,2020-03-06,Russia,655,0,19,0,1
2020-03-07,2020-03-07,Russia,675,0,20,0,1
2020-03-08,2020-03-08,Russia,692,0,17,0,1
2020-03-09,2020-03-09,Russia,715,0,23,0,1
2020-03-10,2020-03-10,Russia,734,0,19,0,1
2020-03-11,2020-03-11,Russia,760,0,26,0,1
2020-03-12,2020-03-12,Russia,786,0,26,0,1
2020-03-13,2020-03-13,Russia,820,0,34,0,1
2020-03-14,2020-03-14,Russia,857,0,37,0,1
2020-03-15,2020-03-15,Russia,888,0,31,0,1
2020-03-16,2020-03-16,Russia,934,0,46,0,1
2020-03-17,2020-03-17,Russia,989,0,55,0,1
2020-03-18,2020-03-18,Russia,1059,0,70,0,1
2020-03-19,2020-03-19,Russia,1158,1,99,1,1
2020-03-20,2020-03-20,Russia,1280,1,122,0,1
2020-03-21,2020-03-21,Russia,1419,1,139,0,1
2020-03-22,2020-03-22,Russia,1577,1,158,0,1
2020-03-23,2020-03-23,Russia,1758,1,181,0,1
2020-03-24,2020-03-24,Russia,1944,1,186,0,1
2020-03-25,2020-03-25,Russia,2225,3,281,2,1
2020-03-26,2020-03-26,Russia,2596,3,371,0,1
2020-03-27,2020-03-27,Russia,3046,4,450,1,1
2020-03-28,2020-03-28,Russia,3583,4,537,0,1
2020-03-29,2020-03-29,Russia,4220,8,637,4,1
2020-03-30,2020-03-30,Russia,4958,9,738,1,1
2020-03-31,2020-03-31,Russia,5934,17,976,8,1
2020-04-01,2020-04-01,Russia,7040,24,1106,7,1
2020-04-02,2020-04-02,Russia,8498,30,1458,6,1
2020-04-03,2020-04-03,Russia,10093,34,1595,4,1
2020-04-04,2020-04-04,Russia,11771,43,1678,9,1
2020-04-05,2020-04-05,Russia,13565,45,1794,2,1
2020-04-06,2020-04-06,Russia,15657,47,2092,2,1
2020-04-07,2020-04-07,Russia,18108,58,2451,11,1
2020-04-08,2020-04-08,Russia,20840,63,2732,5,1
2020-04-09,2020-04-09,Russia,23958,76,3118,13,1
2020-04-10,2020-04-10,Russia,27549,94,3591,18,1
2020-04-11,2020-04-11,Russia,31426,106,3877,12,1
2020-04-12,2020-04-12,Russia,35779,130,4353,24,1
2020-04-13,2020-04-13,Russia,40651,148,4872,18,1
2020-04-14,2020-04-14,Russia,45994,170,5343,22,1
2020-04-15,2020-04-15,Russia,51900,198,5906,28,1
2020-04-16,2020-04-16,Russia,58239,232,6339,34,1
2020-04-17,2020-04-17,Russia,65068,273,6829,41,1
2020-04-18,2020-04-18,Russia,72423,313,7355,40,1
2020-04-19,2020-04-19,Russia,80412,361,7989,48,1
2020-04-20,2020-04-20,Russia,88489,405,8077,44,1
2020-04-21,2020-04-21,Russia,96903,456,8414,51,1
2020-04-22,2020-04-22,Russia,105471,513,8568,57,1
2020-04-23,2020-04-23,Russia,114035,555,8564,42,1
2020-04-24,2020-04-24,Russia,122789,615,8754,60,1
2020-04-25,2020-04-25,Russia,131690,681,8901,66,1
2020-04-26,2020-04-26,Russia,140756,747,9066,66,1
2020-04-27,2020-04-27,Russia,149900,794,9144,47,1
2020-04-28,2020-04-28,Russia,159124,867,9224,73,1
2020-04-29,2020-04-29,Russia,168287,972,9163,105,1
2020-04-30,2020-04-30,Russia,177617,1073,9330,101,1
2020-05-01,2020-05-01,Russia,187213,1169,9596,96,1
2020-05-02,2020-05-02,Russia,197336,1222,10123,53,1
2020-05-03,2020-05-03,Russia,208072,1280,10736,58,1
2020-05-04,2020-05-04,Russia,219251,1356,11179,76,1
2020-05-05,2020-05-05,Russia,230645,1451,11394,95,1
2020-05-06,2020-05-06,Russia,242286,1537,11641,86,1
2020-05-07,2020-05-07,Russia,254253,1625,11967,88,1
2020-05-08,2020-05-08,Russia,266327,1723,12074,98,1
2020-05-09,2020-05-09,Russia,278491,1827,12164,104,1
2020-05-10,2020-05-10,Russia,290750,1915,12259,88,1
2020-05-11,2020-05-11,Russia,303218,2009,12468,94,1
2020-05-12,2020-05-12,Russia,315652,2116,12434,107,1
2020-05-13,2020-05-13,Russia,327848,2212,12196,96,1
2020-05-14,2020-05-14,Russia,339835,2305,11987,93,1
2020-05-15,2020-05-15,Russia,351787,2418,11952,113,1
2020-05-16,2020-05-16,Russia,363404,2537,11617,119,1
2020-05-17,2020-05-17,Russia,374860,2631,11456,94,1
2020-05-18,2020-05-18,Russia,386027,2722,11167,91,1
2020-05-19,2020-05-19,Russia,397037,2837,11010,115,1
2020-05-20,2020-05-20,Russia,407825,2972,10788,135,1
2020-05-21,2020-05-21,Russia,418459,3099,10634,127,1
2020-05-22,2020-05-22,Russia,428986,3249,10527,150,1
2020-05-23,2020-05-23,Russia,439543,3388,10557,139,1
2020-05-24,2020-05-24,Russia,449959,3541,10416,153,1
2020-05-25,2020-05-25,Russia,460337,3633,10378,92,1
2020-05-26,2020-05-26,Russia,470684,3807,10347,174,1
2020-05-27,2020-05-27,Russia,480897,3968,10213,161,1
2020-05-28,2020-05-28,Russia,491017,4142,10120,174,1
2020-05-29,2020-05-29,Russia,501108,4374,10091,232,1
2020-05-30,2020-05-30,Russia,511256,4555,10148,181,1
2020-05-31,2020-05-31,Russia,521516,4693,10260,138,1
2020-06-01,2020-06-01,Russia,531709,4849,10193,156,1
2020-06-02,2020-06-02,Russia,541926,5031,10217,182,1
2020-06-03,2020-06-03,Russia,552099,5208,10173,177,1
2020-06-04,2020-06-04,Russia,562298,5376,10199,168,1
2020-06-05,2020-06-05,Russia,572498,5520,10200,144,1
2020-06-06,2020-06-06,Russia,582726,5717,10228,197,1
2020-06-07,2020-06-07,Russia,593002,5851,10276,134,1
2020-06-08,2020-06-08,Russia,603316,5963,10314,112,1
2020-06-09,2020-06-09,Russia,613584,6134,10268,171,1
2020-06-10,2020-06-10,Russia,623779,6350,10195,216,1
2020-06-11,2020-06-11,Russia,633994,6522,10215,172,1
2020-06-12,2020-06-12,Russia,644262,6705,10268,183,1
2020-06-13,2020-06-13,Russia,654519,6819,10257,114,1
2020-06-14,2020-06-14,Russia,664790,6938,10271,119,1
2020-06-15,2020-06-15,Russia,674958,7081,10168,143,1
2020-06-16,2020-06-16,Russia,685051,7274,10093,193,1
2020-06-17,2020-06-17,Russia,695008,7468,9957,194,1
2020-06-18,2020-06-18,Russia,704853,7650,9845,182,1
2020-06-19,2020-06-19,Russia,714650,7831,9797,181,1
2020-06-20,2020-06-20,Russia,724395,7992,9745,161,1
2020-06-21,2020-06-21,Russia,734074,8101,9679,109,1
2020-06-22,2020-06-22,Russia,743681,8196,9607,95,1
2020-06-23,2020-06-23,Russia,753204,8349,9523,153,1
2020-06-24,2020-06-24,Russia,762620,8503,9416,154,1
2020-06-25,2020-06-25,Russia,771947,8594,9327,91,1
2020-06-26,2020-06-26,Russia,781152,8770,9205,176,1
2020-06-27,2020-06-27,Russia,790277,8958,9125,188,1
2020-06-28,2020-06-28,Russia,799335,9060,9058,102,1
2020-06-29,2020-06-29,Russia,808327,9152,8992,92,1
2020-06-30,2020-06-30,Russia,817273,9306,8946,154,1
2020-07-01,2020-07-01,Russia,826165,9521,8892,215,1
2020-07-02,2020-07-02,Russia,835056,9668,8891,147,1
2020-07-03,2020-07-03,Russia,843943,9844,8887,176,1
2020-07-04,2020-07-04,Russia,852815,10011,8872,167,1
2020-07-05,2020-07-05,Russia,861697,10145,8882,134,1
2020-07-06,2020-07-06,Russia,870563,10280,8866,135,1
2020-07-07,2020-07-07,Russia,879382,10478,8819,198,1
2020-07-08,2020-07-08,Russia,888199,10650,8817,172,1
2020-07-09,2020-07-09,Russia,897009,10826,8810,176,1
2020-07-10,2020-07-10,Russia,905840,11000,8831,174,1
2020-07-11,2020-07-11,Russia,914684,11188,8844,188,1
2020-07-12,2020-07-12,Russia,923539,11318,8855,130,1
2020-07-13,2020-07-13,Russia,932391,11422,8852,104,1
2020-07-14,2020-07-14,Russia,941193,11597,8802,175,1
2020-07-15,2020-07-15,Russia,949988,11753,8795,156,1
2020-07-16,2020-07-16,Russia,958781,11920,8793,167,1
2020-07-17,2020-07-17,Russia,967568,12106,8787,186,1
2020-07-18,2020-07-18,Russia,976321,12228,8753,122,1
2020-07-19,2020-07-19,Russia,985027,12323,8706,95,1
2020-07-20,2020-07-20,Russia,993662,12408,8635,85,1
2020-07-21,2020-07-21,Russia,1002230,12561,8568,153,1
2020-07-22,2020-07-22,Russia,1010753,12726,8523,165,1
2020-07-23,2020-07-23,Russia,1019239,12873,8486,147,1
2020-07-24,2020-07-24,Russia,1027689,13026,8450,153,1
2020-07-25,2020-07-25,Russia,1036124,13172,8435,146,1
2020-07-26,2020-07-26,Russia,1044533,13249,8409,77,1
2020-07-27,2020-07-27,Russia,1052898,13334,8365,85,1
