date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-03-02,2020-03-02,Saudi Arabia,4,0,3,0,1
2020-03-03,2020-03-03,Saudi Arabia,19,0,15,0,1
2020-03-04,2020-03-04,Saudi Arabia,43,0,24,0,1
2020-03-05,2020-03-05,Saudi Arabia,71,0,28,0,1
2020-03-06,2020-03-06,Saudi Arabia,105,0,34,0,1
2020-03-07,2020-03-07,Saudi Arabia,145,0,40,0,1
2020-03-08,2020-03-08,Saudi Arabia,186,0,41,0,1
2020-03-09,2020-03-09,Saudi Arabia,224,0,38,0,1
2020-03-10,2020-03-10,Saudi Arabia,261,0,37,0,1
2020-03-11,2020-03-11,Saudi Arabia,292,0,31,0,1
2020-03-12,2020-03-12,Saudi Arabia,339,0,47,0,1
2020-03-13,2020-03-13,Saudi Arabia,413,0,74,0,1
2020-03-14,2020-03-14,Saudi Arabia,486,0,73,0,1
2020-03-15,2020-03-15,Saudi Arabia,574,0,88,0,1
2020-03-16,2020-03-16,Saudi Arabia,655,0,81,0,1
2020-03-17,2020-03-17,Saudi Arabia,763,0,108,0,1
2020-03-18,2020-03-18,Saudi Arabia,889,0,126,0,1
2020-03-19,2020-03-19,Saudi Arabia,1073,0,184,0,1
2020-03-20,2020-03-20,Saudi Arabia,1274,0,201,0,1
2020-03-21,2020-03-21,Saudi Arabia,1467,0,193,0,1
2020-03-22,2020-03-22,Saudi Arabia,1714,0,247,0,1
2020-03-23,2020-03-23,Saudi Arabia,1943,0,229,0,1
2020-03-24,2020-03-24,Saudi Arabia,2284,1,341,1,1
2020-03-25,2020-03-25,Saudi Arabia,2653,2,369,1,1
2020-03-26,2020-03-26,Saudi Arabia,3025,3,372,1,1
2020-03-27,2020-03-27,Saudi Arabia,3380,3,355,0,1
2020-03-28,2020-03-28,Saudi Arabia,3727,4,347,1,1
2020-03-29,2020-03-29,Saudi Arabia,4064,8,337,4,1
2020-03-30,2020-03-30,Saudi Arabia,4440,8,376,0,1
2020-03-31,2020-03-31,Saudi Arabia,4809,10,369,2,1
2020-04-01,2020-04-01,Saudi Arabia,5210,16,401,6,1
2020-04-02,2020-04-02,Saudi Arabia,5641,21,431,5,1
2020-04-03,2020-04-03,Saudi Arabia,6085,25,444,4,1
2020-04-04,2020-04-04,Saudi Arabia,6527,29,442,4,1
2020-04-05,2020-04-05,Saudi Arabia,7031,34,504,5,1
2020-04-06,2020-04-06,Saudi Arabia,7567,38,536,4,1
2020-04-07,2020-04-07,Saudi Arabia,8116,41,549,3,1
2020-04-08,2020-04-08,Saudi Arabia,8632,41,516,0,1
2020-04-09,2020-04-09,Saudi Arabia,9283,44,651,3,1
2020-04-10,2020-04-10,Saudi Arabia,10043,47,760,3,1
2020-04-11,2020-04-11,Saudi Arabia,10898,52,855,5,1
2020-04-12,2020-04-12,Saudi Arabia,11853,59,955,7,1
2020-04-13,2020-04-13,Saudi Arabia,12910,65,1057,6,1
2020-04-14,2020-04-14,Saudi Arabia,14019,73,1109,8,1
2020-04-15,2020-04-15,Saudi Arabia,15200,79,1181,6,1
2020-04-16,2020-04-16,Saudi Arabia,16448,83,1248,4,1
2020-04-17,2020-04-17,Saudi Arabia,17872,87,1424,4,1
2020-04-18,2020-04-18,Saudi Arabia,19571,92,1699,5,1
2020-04-19,2020-04-19,Saudi Arabia,21463,97,1892,5,1
2020-04-20,2020-04-20,Saudi Arabia,23508,103,2045,6,1
2020-04-21,2020-04-21,Saudi Arabia,25672,109,2164,6,1
2020-04-22,2020-04-22,Saudi Arabia,27919,114,2247,5,1
2020-04-23,2020-04-23,Saudi Arabia,30228,121,2309,7,1
