date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-03-05,2020-03-05,South Africa,4,0,3,0,1
2020-03-06,2020-03-06,South Africa,17,0,13,0,1
2020-03-07,2020-03-07,South Africa,38,0,21,0,1
2020-03-08,2020-03-08,South Africa,62,0,24,0,1
2020-03-09,2020-03-09,South Africa,90,0,28,0,1
2020-03-10,2020-03-10,South Africa,119,0,29,0,1
2020-03-11,2020-03-11,South Africa,150,0,31,0,1
2020-03-12,2020-03-12,South Africa,181,0,31,0,1
2020-03-13,2020-03-13,South Africa,213,0,32,0,1
2020-03-14,2020-03-14,South Africa,252,0,39,0,1
2020-03-15,2020-03-15,South Africa,295,0,43,0,1
2020-03-16,2020-03-16,South Africa,339,0,44,0,1
2020-03-17,2020-03-17,South Africa,408,0,69,0,1
2020-03-18,2020-03-18,South Africa,509,0,101,0,1
2020-03-19,2020-03-19,South Africa,617,0,108,0,1
2020-03-20,2020-03-20,South Africa,746,0,129,0,1
2020-03-21,2020-03-21,South Africa,877,0,131,0,1
2020-03-22,2020-03-22,South Africa,1006,0,129,0,1
2020-03-23,2020-03-23,South Africa,1215,0,209,0,1
2020-03-24,2020-03-24,South Africa,1505,0,290,0,1
2020-03-25,2020-03-25,South Africa,1858,0,353,0,1
2020-03-26,2020-03-26,South Africa,2311,0,453,0,1
2020-03-27,2020-03-27,South Africa,2859,1,548,1,1
2020-03-28,2020-03-28,South Africa,3286,1,427,0,1
2020-03-29,2020-03-29,South Africa,3684,2,398,1,1
2020-03-30,2020-03-30,South Africa,4016,3,332,1,1
2020-03-31,2020-03-31,South Africa,4280,5,264,2,1
2020-04-01,2020-04-01,South Africa,4490,5,210,0,1
2020-04-02,2020-04-02,South Africa,4707,5,217,0,1
2020-04-03,2020-04-03,South Africa,4896,9,189,4,1
2020-04-04,2020-04-04,South Africa,5096,9,200,0,1
2020-04-05,2020-04-05,South Africa,5295,11,199,2,1
2020-04-06,2020-04-06,South Africa,5460,12,165,1,1
2020-04-07,2020-04-07,South Africa,5627,13,167,1,1
2020-04-08,2020-04-08,South Africa,5825,18,198,5,1
2020-04-09,2020-04-09,South Africa,6041,18,216,0,1
2020-04-10,2020-04-10,South Africa,6254,24,213,6,1
2020-04-11,2020-04-11,South Africa,6425,25,171,1,1
2020-04-12,2020-04-12,South Africa,6668,25,243,0,1
2020-04-13,2020-04-13,South Africa,6928,27,260,2,1
2020-04-14,2020-04-14,South Africa,7238,27,310,0,1
2020-04-15,2020-04-15,South Africa,7542,34,304,7,1
2020-04-16,2020-04-16,South Africa,7847,48,305,14,1
2020-04-17,2020-04-17,South Africa,8220,50,373,2,1
2020-04-18,2020-04-18,South Africa,8704,52,484,2,1
2020-04-19,2020-04-19,South Africa,9168,54,464,2,1
2020-04-20,2020-04-20,South Africa,9630,58,462,4,1
2020-04-21,2020-04-21,South Africa,10108,58,478,0,1
2020-04-22,2020-04-22,South Africa,10602,65,494,7,1
2020-04-23,2020-04-23,South Africa,11227,75,625,10,1
2020-04-24,2020-04-24,South Africa,11911,79,684,4,1
2020-04-25,2020-04-25,South Africa,12535,86,624,7,1
2020-04-26,2020-04-26,South Africa,13147,87,612,1,1
2020-04-27,2020-04-27,South Africa,13799,90,652,3,1
2020-04-28,2020-04-28,South Africa,14445,93,646,3,1
2020-04-29,2020-04-29,South Africa,15205,103,760,10,1
2020-04-30,2020-04-30,South Africa,16007,103,802,0,1
2020-05-01,2020-05-01,South Africa,16845,116,838,13,1
2020-05-02,2020-05-02,South Africa,17772,123,927,7,1
2020-05-03,2020-05-03,South Africa,18811,131,1039,8,1
2020-05-04,2020-05-04,South Africa,19926,138,1115,7,1
2020-05-05,2020-05-05,South Africa,21033,148,1107,10,1
2020-05-06,2020-05-06,South Africa,22039,153,1006,5,1
2020-05-07,2020-05-07,South Africa,23110,161,1071,8,1
2020-05-08,2020-05-08,South Africa,24397,178,1287,17,1
2020-05-09,2020-05-09,South Africa,25754,186,1357,8,1
2020-05-10,2020-05-10,South Africa,27210,194,1456,8,1
2020-05-11,2020-05-11,South Africa,28767,206,1557,12,1
2020-05-12,2020-05-12,South Africa,30438,206,1671,0,1
2020-05-13,2020-05-13,South Africa,32209,219,1771,13,1
2020-05-14,2020-05-14,South Africa,34014,238,1805,19,1
2020-05-15,2020-05-15,South Africa,35917,247,1903,9,1
2020-05-16,2020-05-16,South Africa,37919,261,2002,14,1
2020-05-17,2020-05-17,South Africa,40174,264,2255,3,1
2020-05-18,2020-05-18,South Africa,42488,286,2314,22,1
2020-05-19,2020-05-19,South Africa,44751,312,2263,26,1
