date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-01-22,2020-01-22,South Korea,3,0,2,0,1
2020-01-23,2020-01-23,South Korea,7,0,4,0,1
2020-01-24,2020-01-24,South Korea,11,0,4,0,1
2020-01-25,2020-01-25,South Korea,16,0,5,0,1
2020-01-26,2020-01-26,South Korea,22,0,6,0,1
2020-01-27,2020-01-27,South Korea,28,0,6,0,1
2020-01-28,2020-01-28,South Korea,34,0,6,0,1
2020-01-29,2020-01-29,South Korea,41,0,7,0,1
2020-01-30,2020-01-30,South Korea,48,0,7,0,1
2020-01-31,2020-01-31,South Korea,60,0,12,0,1
2020-02-01,2020-02-01,South Korea,70,0,10,0,1
2020-02-02,2020-02-02,South Korea,80,0,10,0,1
2020-02-03,2020-02-03,South Korea,89,0,9,0,1
2020-02-04,2020-02-04,South Korea,97,0,8,0,1
2020-02-05,2020-02-05,South Korea,105,0,8,0,1
2020-02-06,2020-02-06,South Korea,115,0,10,0,1
2020-02-07,2020-02-07,South Korea,123,0,8,0,1
2020-02-08,2020-02-08,South Korea,134,0,11,0,1
2020-02-09,2020-02-09,South Korea,143,0,9,0,1
2020-02-10,2020-02-10,South Korea,151,0,8,0,1
2020-02-11,2020-02-11,South Korea,158,0,7,0,1
2020-02-12,2020-02-12,South Korea,176,0,18,0,1
2020-02-13,2020-02-13,South Korea,201,0,25,0,1
2020-02-14,2020-02-14,South Korea,233,0,32,0,1
2020-02-15,2020-02-15,South Korea,272,0,39,0,1
2020-02-16,2020-02-16,South Korea,302,0,30,0,1
2020-02-17,2020-02-17,South Korea,325,0,23,0,1
2020-02-18,2020-02-18,South Korea,343,0,18,0,1
2020-02-19,2020-02-19,South Korea,380,0,37,0,1
2020-02-20,2020-02-20,South Korea,442,1,62,1,1
2020-02-21,2020-02-21,South Korea,528,2,86,1,1
2020-02-22,2020-02-22,South Korea,662,2,134,0,1
2020-02-23,2020-02-23,South Korea,817,6,155,4,1
2020-02-24,2020-02-24,South Korea,1004,8,187,2,1
2020-02-25,2020-02-25,South Korea,1192,10,188,2,1
2020-02-26,2020-02-26,South Korea,1418,12,226,2,1
2020-02-27,2020-02-27,South Korea,1738,13,320,1,1
2020-02-28,2020-02-28,South Korea,2149,13,411,0,1
2020-02-29,2020-02-29,South Korea,2702,16,553,3,1
2020-03-01,2020-03-01,South Korea,3293,17,591,1,1
2020-03-02,2020-03-02,South Korea,3915,28,622,11,1
2020-03-03,2020-03-03,South Korea,4633,28,718,0,1
2020-03-04,2020-03-04,South Korea,5298,35,665,7,1
2020-03-05,2020-03-05,South Korea,5928,35,630,0,1
2020-03-06,2020-03-06,South Korea,6541,42,613,7,1
2020-03-07,2020-03-07,South Korea,7121,44,580,2,1
2020-03-08,2020-03-08,South Korea,7622,50,501,6,1
2020-03-09,2020-03-09,South Korea,8031,53,409,3,1
2020-03-10,2020-03-10,South Korea,8339,54,308,1,1
2020-03-11,2020-03-11,South Korea,8620,60,281,6,1
2020-03-12,2020-03-12,South Korea,8850,66,230,6,1
2020-03-13,2020-03-13,South Korea,9040,66,190,0,1
2020-03-14,2020-03-14,South Korea,9201,72,161,6,1
2020-03-15,2020-03-15,South Korea,9334,75,133,3,1
2020-03-16,2020-03-16,South Korea,9447,75,113,0,1
2020-03-17,2020-03-17,South Korea,9548,81,101,6,1
2020-03-18,2020-03-18,South Korea,9643,84,95,3,1
2020-03-19,2020-03-19,South Korea,9747,91,104,7,1
2020-03-20,2020-03-20,South Korea,9846,94,99,3,1
2020-03-21,2020-03-21,South Korea,9953,102,107,8,1
2020-03-22,2020-03-22,South Korea,10072,111,119,9,1
2020-03-23,2020-03-23,South Korea,10184,111,112,0,1
2020-03-24,2020-03-24,South Korea,10291,120,107,9,1
2020-03-25,2020-03-25,South Korea,10399,126,108,6,1
2020-03-26,2020-03-26,South Korea,10509,131,110,5,1
2020-03-27,2020-03-27,South Korea,10619,139,110,8,1
2020-03-28,2020-03-28,South Korea,10740,144,121,5,1
2020-03-29,2020-03-29,South Korea,10862,152,122,8,1
2020-03-30,2020-03-30,South Korea,10980,158,118,6,1
2020-03-31,2020-03-31,South Korea,11104,162,124,4,1
2020-04-01,2020-04-01,South Korea,11228,165,124,3,1
2020-04-02,2020-04-02,South Korea,11350,169,122,4,1
2020-04-03,2020-04-03,South Korea,11471,174,121,5,1
2020-04-04,2020-04-04,South Korea,11592,177,121,3,1
2020-04-05,2020-04-05,South Korea,11711,183,119,6,1
2020-04-06,2020-04-06,South Korea,11821,186,110,3,1
2020-04-07,2020-04-07,South Korea,11923,192,102,6,1
2020-04-08,2020-04-08,South Korea,12022,200,99,8,1
2020-04-09,2020-04-09,South Korea,12113,204,91,4,1
2020-04-10,2020-04-10,South Korea,12193,208,80,4,1
2020-04-11,2020-04-11,South Korea,12267,211,74,3,1
2020-04-12,2020-04-12,South Korea,12337,214,70,3,1
2020-04-13,2020-04-13,South Korea,12401,217,64,3,1
2020-04-14,2020-04-14,South Korea,12461,222,60,5,1
2020-04-15,2020-04-15,South Korea,12519,225,58,3,1
2020-04-16,2020-04-16,South Korea,12573,229,54,4,1
2020-04-17,2020-04-17,South Korea,12624,230,51,1,1
2020-04-18,2020-04-18,South Korea,12671,232,47,2,1
2020-04-19,2020-04-19,South Korea,12707,234,36,2,1
2020-04-20,2020-04-20,South Korea,12739,236,32,2,1
2020-04-21,2020-04-21,South Korea,12766,237,27,1,1
2020-04-22,2020-04-22,South Korea,12790,238,24,1,1
2020-04-23,2020-04-23,South Korea,12815,240,25,2,1
2020-04-24,2020-04-24,South Korea,12838,240,23,0,1
2020-04-25,2020-04-25,South Korea,12860,242,22,2,1
2020-04-26,2020-04-26,South Korea,12881,243,21,1,1
2020-04-27,2020-04-27,South Korea,12904,244,23,1,1
2020-04-28,2020-04-28,South Korea,12926,246,22,2,1
2020-04-29,2020-04-29,South Korea,12943,247,17,1,1
2020-04-30,2020-04-30,South Korea,12960,248,17,1,1
2020-05-01,2020-05-01,South Korea,12976,250,16,2,1
2020-05-02,2020-05-02,South Korea,12996,250,20,0,1
2020-05-03,2020-05-03,South Korea,13015,252,19,2,1
2020-05-04,2020-05-04,South Korea,13030,254,15,2,1
2020-05-05,2020-05-05,South Korea,13041,255,11,1,1
2020-05-06,2020-05-06,South Korea,13051,256,10,1,1
2020-05-07,2020-05-07,South Korea,13066,256,15,0,1
2020-05-08,2020-05-08,South Korea,13089,256,23,0,1
2020-05-09,2020-05-09,South Korea,13128,256,39,0,1
2020-05-10,2020-05-10,South Korea,13179,256,51,0,1
2020-05-11,2020-05-11,South Korea,13235,258,56,2,1
2020-05-12,2020-05-12,South Korea,13295,259,60,1,1
2020-05-13,2020-05-13,South Korea,13359,260,64,1,1
2020-05-14,2020-05-14,South Korea,13425,260,66,0,1
2020-05-15,2020-05-15,South Korea,13488,262,63,2,1
2020-05-16,2020-05-16,South Korea,13544,262,56,0,1
2020-05-17,2020-05-17,South Korea,13596,263,52,1,1
2020-05-18,2020-05-18,South Korea,13643,263,47,0,1
2020-05-19,2020-05-19,South Korea,13698,263,55,0,1
2020-05-20,2020-05-20,South Korea,13747,264,49,1,1
2020-05-21,2020-05-21,South Korea,13796,264,49,0,1
2020-05-22,2020-05-22,South Korea,13848,266,52,2,1
2020-05-23,2020-05-23,South Korea,13903,266,55,0,1
2020-05-24,2020-05-24,South Korea,13954,267,51,1,1
2020-05-25,2020-05-25,South Korea,14005,269,51,2,1
2020-05-26,2020-05-26,South Korea,14066,269,61,0,1
2020-05-27,2020-05-27,South Korea,14145,269,79,0,1
2020-05-28,2020-05-28,South Korea,14233,269,88,0,1
2020-05-29,2020-05-29,South Korea,14322,269,89,0,1
2020-05-30,2020-05-30,South Korea,14406,270,84,1,1
2020-05-31,2020-05-31,South Korea,14489,271,83,1,1
2020-06-01,2020-06-01,South Korea,14573,272,84,1,1
2020-06-02,2020-06-02,South Korea,14662,273,89,1,1
2020-06-03,2020-06-03,South Korea,14750,273,88,0,1
2020-06-04,2020-06-04,South Korea,14838,273,88,0,1
2020-06-05,2020-06-05,South Korea,14930,273,92,0,1
2020-06-06,2020-06-06,South Korea,15026,273,96,0,1
2020-06-07,2020-06-07,South Korea,15119,273,93,0,1
2020-06-08,2020-06-08,South Korea,15210,274,91,1,1
2020-06-09,2020-06-09,South Korea,15303,276,93,2,1
2020-06-10,2020-06-10,South Korea,15396,276,93,0,1
2020-06-11,2020-06-11,South Korea,15492,277,96,1,1
2020-06-12,2020-06-12,South Korea,15588,277,96,0,1
2020-06-13,2020-06-13,South Korea,15679,277,91,0,1
2020-06-14,2020-06-14,South Korea,15767,277,88,0,1
2020-06-15,2020-06-15,South Korea,15851,278,84,1,1
2020-06-16,2020-06-16,South Korea,15936,279,85,1,1
2020-06-17,2020-06-17,South Korea,16027,280,91,1,1
2020-06-18,2020-06-18,South Korea,16119,280,92,0,1
2020-06-19,2020-06-19,South Korea,16217,280,98,0,1
2020-06-20,2020-06-20,South Korea,16314,280,97,0,1
2020-06-21,2020-06-21,South Korea,16396,280,82,0,1
2020-06-22,2020-06-22,South Korea,16480,281,84,1,1
2020-06-23,2020-06-23,South Korea,16568,281,88,0,1
2020-06-24,2020-06-24,South Korea,16649,282,81,1,1
2020-06-25,2020-06-25,South Korea,16730,282,81,0,1
2020-06-26,2020-06-26,South Korea,16815,282,85,0,1
2020-06-27,2020-06-27,South Korea,16907,282,92,0,1
2020-06-28,2020-06-28,South Korea,16997,282,90,0,1
2020-06-29,2020-06-29,South Korea,17087,282,90,0,1
2020-06-30,2020-06-30,South Korea,17179,282,92,0,1
2020-07-01,2020-07-01,South Korea,17273,282,94,0,1
2020-07-02,2020-07-02,South Korea,17372,282,99,0,1
2020-07-03,2020-07-03,South Korea,17474,283,102,1,1
2020-07-04,2020-07-04,South Korea,17578,283,104,0,1
2020-07-05,2020-07-05,South Korea,17679,284,101,1,1
2020-07-06,2020-07-06,South Korea,17777,285,98,1,1
2020-07-07,2020-07-07,South Korea,17878,285,101,0,1
2020-07-08,2020-07-08,South Korea,17978,287,100,2,1
2020-07-09,2020-07-09,South Korea,18075,288,97,1,1
2020-07-10,2020-07-10,South Korea,18166,288,91,0,1
2020-07-11,2020-07-11,South Korea,18256,289,90,1,1
2020-07-12,2020-07-12,South Korea,18351,289,95,0,1
2020-07-13,2020-07-13,South Korea,18439,289,88,0,1
2020-07-14,2020-07-14,South Korea,18525,289,86,0,1
2020-07-15,2020-07-15,South Korea,18617,291,92,2,1
2020-07-16,2020-07-16,South Korea,18712,293,95,2,1
2020-07-17,2020-07-17,South Korea,18804,294,92,1,1
2020-07-18,2020-07-18,South Korea,18891,295,87,1,1
2020-07-19,2020-07-19,South Korea,18970,296,79,1,1
2020-07-20,2020-07-20,South Korea,19051,296,81,0,1
2020-07-21,2020-07-21,South Korea,19139,297,88,1,1
2020-07-22,2020-07-22,South Korea,19232,297,93,0,1
2020-07-23,2020-07-23,South Korea,19323,298,91,1,1
2020-07-24,2020-07-24,South Korea,19428,298,105,0,1
2020-07-25,2020-07-25,South Korea,19534,298,106,0,1
2020-07-26,2020-07-26,South Korea,19627,299,93,1,1
2020-07-27,2020-07-27,South Korea,19712,300,85,1,1
