date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-02-01,2020-02-01,Spain,4,0,3,0,1
2020-02-02,2020-02-02,Spain,20,0,16,0,1
2020-02-03,2020-02-03,Spain,48,0,28,0,1
2020-02-04,2020-02-04,Spain,86,0,38,0,1
2020-02-05,2020-02-05,Spain,129,0,43,0,1
2020-02-06,2020-02-06,Spain,175,0,46,0,1
2020-02-07,2020-02-07,Spain,224,0,49,0,1
2020-02-08,2020-02-08,Spain,274,0,50,0,1
2020-02-09,2020-02-09,Spain,316,0,42,0,1
2020-02-10,2020-02-10,Spain,362,0,46,0,1
2020-02-11,2020-02-11,Spain,410,0,48,0,1
2020-02-12,2020-02-12,Spain,459,0,49,0,1
2020-02-13,2020-02-13,Spain,509,0,50,0,1
2020-02-14,2020-02-14,Spain,561,0,52,0,1
2020-02-15,2020-02-15,Spain,613,0,52,0,1
2020-02-16,2020-02-16,Spain,664,0,51,0,1
2020-02-17,2020-02-17,Spain,717,0,53,0,1
2020-02-18,2020-02-18,Spain,772,0,55,0,1
2020-02-19,2020-02-19,Spain,830,0,58,0,1
2020-02-20,2020-02-20,Spain,893,0,63,0,1
2020-02-21,2020-02-21,Spain,960,0,67,0,1
2020-02-22,2020-02-22,Spain,1027,0,67,0,1
2020-02-23,2020-02-23,Spain,1096,0,69,0,1
2020-02-24,2020-02-24,Spain,1166,0,70,0,1
2020-02-25,2020-02-25,Spain,1220,0,54,0,1
2020-02-26,2020-02-26,Spain,1265,0,45,0,1
2020-02-27,2020-02-27,Spain,1299,0,34,0,1
2020-02-28,2020-02-28,Spain,1337,0,38,0,1
2020-02-29,2020-02-29,Spain,1375,0,38,0,1
2020-03-01,2020-03-01,Spain,1436,0,61,0,1
2020-03-02,2020-03-02,Spain,1512,0,76,0,1
2020-03-03,2020-03-03,Spain,1607,1,95,1,1
2020-03-04,2020-03-04,Spain,1727,2,120,1,1
2020-03-05,2020-03-05,Spain,1849,3,122,1,1
2020-03-06,2020-03-06,Spain,2060,5,211,2,1
2020-03-07,2020-03-07,Spain,2305,10,245,5,1
2020-03-08,2020-03-08,Spain,2635,17,330,7,1
2020-03-09,2020-03-09,Spain,3194,28,559,11,1
2020-03-10,2020-03-10,Spain,4063,35,869,7,1
2020-03-11,2020-03-11,Spain,5146,54,1083,19,1
2020-03-12,2020-03-12,Spain,6472,55,1326,1,1
2020-03-13,2020-03-13,Spain,8531,133,2059,78,1
2020-03-14,2020-03-14,Spain,10765,195,2234,62,1
2020-03-15,2020-03-15,Spain,13197,289,2432,94,1
2020-03-16,2020-03-16,Spain,15928,342,2731,53,1
2020-03-17,2020-03-17,Spain,18813,533,2885,191,1
2020-03-18,2020-03-18,Spain,21872,623,3059,90,1
2020-03-19,2020-03-19,Spain,25435,830,3563,207,1
2020-03-20,2020-03-20,Spain,29043,1043,3608,213,1
2020-03-21,2020-03-21,Spain,33234,1375,4191,332,1
2020-03-22,2020-03-22,Spain,37480,1772,4246,397,1
2020-03-23,2020-03-23,Spain,42526,2311,5046,539,1
2020-03-24,2020-03-24,Spain,47722,2808,5196,497,1
2020-03-25,2020-03-25,Spain,54432,3647,6710,839,1
2020-03-26,2020-03-26,Spain,61883,4365,7451,718,1
2020-03-27,2020-03-27,Spain,69778,5138,7895,773,1
2020-03-28,2020-03-28,Spain,77861,5982,8083,844,1
