date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-03-11,2020-03-11,Turkey,4,0,3,0,1
2020-03-12,2020-03-12,Turkey,83,0,79,0,1
2020-03-13,2020-03-13,Turkey,195,0,112,0,1
2020-03-14,2020-03-14,Turkey,352,0,157,0,1
2020-03-15,2020-03-15,Turkey,511,0,159,0,1
2020-03-16,2020-03-16,Turkey,677,0,166,0,1
2020-03-17,2020-03-17,Turkey,859,1,182,1,1
2020-03-18,2020-03-18,Turkey,1068,1,209,0,1
2020-03-19,2020-03-19,Turkey,1331,3,263,2,1
2020-03-20,2020-03-20,Turkey,1691,4,360,1,1
2020-03-21,2020-03-21,Turkey,2227,9,536,5,1
2020-03-22,2020-03-22,Turkey,3047,30,820,21,1
2020-03-23,2020-03-23,Turkey,3916,37,869,7,1
2020-03-24,2020-03-24,Turkey,4851,44,935,7,1
2020-03-25,2020-03-25,Turkey,5958,59,1107,15,1
2020-03-26,2020-03-26,Turkey,7430,75,1472,16,1
2020-03-27,2020-03-27,Turkey,9354,92,1924,17,1
2020-03-28,2020-03-28,Turkey,11550,108,2196,16,1
2020-03-29,2020-03-29,Turkey,13966,131,2416,23,1
2020-03-30,2020-03-30,Turkey,16502,168,2536,37,1
2020-03-31,2020-03-31,Turkey,19323,214,2821,46,1
2020-04-01,2020-04-01,Turkey,22246,277,2923,63,1
2020-04-02,2020-04-02,Turkey,25292,356,3046,79,1
2020-04-03,2020-04-03,Turkey,28487,425,3195,69,1
2020-04-04,2020-04-04,Turkey,31835,501,3348,76,1
2020-04-05,2020-04-05,Turkey,35316,574,3481,73,1
2020-04-06,2020-04-06,Turkey,38891,649,3575,75,1
2020-04-07,2020-04-07,Turkey,42711,725,3820,76,1
2020-04-08,2020-04-08,Turkey,46767,812,4056,87,1
2020-04-09,2020-04-09,Turkey,50978,908,4211,96,1
2020-04-10,2020-04-10,Turkey,55486,1006,4508,98,1
2020-04-11,2020-04-11,Turkey,60322,1101,4836,95,1
2020-04-12,2020-04-12,Turkey,65298,1198,4976,97,1
2020-04-13,2020-04-13,Turkey,70177,1296,4879,98,1
2020-04-14,2020-04-14,Turkey,74960,1403,4783,107,1
2020-04-15,2020-04-15,Turkey,79716,1518,4756,115,1
2020-04-16,2020-04-16,Turkey,84587,1643,4871,125,1
2020-04-17,2020-04-17,Turkey,89413,1769,4826,126,1
2020-04-18,2020-04-18,Turkey,94045,1890,4632,121,1
2020-04-19,2020-04-19,Turkey,98570,2017,4525,127,1
