date,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-01-31,2020-01-31,United Kingdom,8,0,6,0,1
2020-02-01,2020-02-01,United Kingdom,16,0,8,0,1
2020-02-02,2020-02-02,United Kingdom,25,0,9,0,1
2020-02-03,2020-02-03,United Kingdom,39,0,14,0,1
2020-02-04,2020-02-04,United Kingdom,53,0,14,0,1
2020-02-05,2020-02-05,United Kingdom,65,0,12,0,1
2020-02-06,2020-02-06,United Kingdom,77,0,12,0,1
2020-02-07,2020-02-07,United Kingdom,88,0,11,0,1
2020-02-08,2020-02-08,United Kingdom,100,0,12,0,1
2020-02-09,2020-02-09,United Kingdom,111,0,11,0,1
2020-02-10,2020-02-10,United Kingdom,121,0,10,0,1
2020-02-11,2020-02-11,United Kingdom,130,0,9,0,1
2020-02-12,2020-02-12,United Kingdom,137,0,7,0,1
2020-02-13,2020-02-13,United Kingdom,143,0,6,0,1
2020-02-14,2020-02-14,United Kingdom,149,0,6,0,1
2020-02-15,2020-02-15,United Kingdom,155,0,6,0,1
2020-02-16,2020-02-16,United Kingdom,161,0,6,0,1
2020-02-17,2020-02-17,United Kingdom,166,0,5,0,1
2020-02-18,2020-02-18,United Kingdom,172,0,6,0,1
2020-02-19,2020-02-19,United Kingdom,177,0,5,0,1
2020-02-20,2020-02-20,United Kingdom,182,0,5,0,1
2020-02-21,2020-02-21,United Kingdom,187,0,5,0,1
2020-02-22,2020-02-22,United Kingdom,194,0,7,0,1
2020-02-23,2020-02-23,United Kingdom,204,0,10,0,1
2020-02-24,2020-02-24,United Kingdom,213,0,9,0,1
2020-02-25,2020-02-25,United Kingdom,223,0,10,0,1
2020-02-26,2020-02-26,United Kingdom,233,0,10,0,1
2020-02-27,2020-02-27,United Kingdom,247,0,14,0,1
2020-02-28,2020-02-28,United Kingdom,268,0,21,0,1
2020-02-29,2020-02-29,United Kingdom,288,0,20,0,1
2020-03-01,2020-03-01,United Kingdom,332,0,44,0,1
2020-03-02,2020-03-02,United Kingdom,401,0,69,0,1
2020-03-03,2020-03-03,United Kingdom,501,0,100,0,1
2020-03-04,2020-03-04,United Kingdom,627,0,126,0,1
2020-03-05,2020-03-05,United Kingdom,766,0,139,0,1
2020-03-06,2020-03-06,United Kingdom,939,1,173,1,1
2020-03-07,2020-03-07,United Kingdom,1118,2,179,1,1
2020-03-08,2020-03-08,United Kingdom,1299,2,181,0,1
2020-03-09,2020-03-09,United Kingdom,1558,3,259,1,1
2020-03-10,2020-03-10,United Kingdom,1963,7,405,4,1
2020-03-11,2020-03-11,United Kingdom,2582,7,619,0,1
2020-03-12,2020-03-12,United Kingdom,3411,9,829,2,1
2020-03-13,2020-03-13,United Kingdom,4393,10,982,1,1
2020-03-14,2020-03-14,United Kingdom,5416,28,1023,18,1
2020-03-15,2020-03-15,United Kingdom,6516,43,1100,15,1
2020-03-16,2020-03-16,United Kingdom,7767,66,1251,23,1
2020-03-17,2020-03-17,United Kingdom,9203,82,1436,16,1
2020-03-18,2020-03-18,United Kingdom,10868,116,1665,34,1
2020-03-19,2020-03-19,United Kingdom,12723,159,1855,43,1
2020-03-20,2020-03-20,United Kingdom,14774,195,2051,36,1
2020-03-21,2020-03-21,United Kingdom,16956,251,2182,56,1
2020-03-22,2020-03-22,United Kingdom,19276,286,2320,35,1
2020-03-23,2020-03-23,United Kingdom,21880,360,2604,74,1
2020-03-24,2020-03-24,United Kingdom,24700,509,2820,149,1
2020-03-25,2020-03-25,United Kingdom,27741,696,3041,187,1
2020-03-26,2020-03-26,United Kingdom,31025,880,3284,184,1
2020-03-27,2020-03-27,United Kingdom,34513,1164,3488,284,1
2020-03-28,2020-03-28,United Kingdom,38060,1458,3547,294,1
2020-03-29,2020-03-29,United Kingdom,41651,1673,3591,215,1
2020-03-30,2020-03-30,United Kingdom,45605,2047,3954,374,1
2020-03-31,2020-03-31,United Kingdom,49883,2430,4278,383,1
2020-04-01,2020-04-01,United Kingdom,54521,3101,4638,671,1
2020-04-02,2020-04-02,United Kingdom,59410,3753,4889,652,1
2020-04-03,2020-04-03,United Kingdom,64493,4468,5083,715,1
2020-04-04,2020-04-04,United Kingdom,69466,5229,4973,761,1
2020-04-05,2020-04-05,United Kingdom,74236,5875,4770,646,1
2020-04-06,2020-04-06,United Kingdom,79281,6446,5045,571,1
2020-04-07,2020-04-07,United Kingdom,84577,7484,5296,1038,1
2020-04-08,2020-04-08,United Kingdom,89964,8520,5387,1036,1
2020-04-09,2020-04-09,United Kingdom,95337,9631,5373,1111,1
2020-04-10,2020-04-10,United Kingdom,100543,10784,5206,1153,1
2020-04-11,2020-04-11,United Kingdom,105419,11625,4876,841,1
2020-04-12,2020-04-12,United Kingdom,110017,12311,4598,686,1
2020-04-13,2020-04-13,United Kingdom,114561,13056,4544,745,1
2020-04-14,2020-04-14,United Kingdom,119100,14107,4539,1051,1
2020-04-15,2020-04-15,United Kingdom,123840,14953,4740,846,1
2020-04-16,2020-04-16,United Kingdom,128802,15986,4962,1033,1
2020-04-17,2020-04-17,United Kingdom,133833,16923,5031,937,1
2020-04-18,2020-04-18,United Kingdom,138842,18041,5009,1118,1
2020-04-19,2020-04-19,United Kingdom,143601,18540,4759,499,1
2020-04-20,2020-04-20,United Kingdom,148430,19105,4829,565,1
2020-04-21,2020-04-21,United Kingdom,153286,20278,4856,1173,1
2020-04-22,2020-04-22,United Kingdom,158367,21125,5081,847,1
2020-04-23,2020-04-23,United Kingdom,163524,21854,5157,729,1
2020-04-24,2020-04-24,United Kingdom,168684,22868,5160,1014,1
2020-04-25,2020-04-25,United Kingdom,173520,23712,4836,844,1
2020-04-26,2020-04-26,United Kingdom,178035,24132,4515,420,1
2020-04-27,2020-04-27,United Kingdom,182617,24473,4582,341,1
2020-04-28,2020-04-28,United Kingdom,187259,25386,4642,913,1
2020-04-29,2020-04-29,United Kingdom,192151,26183,4892,797,1
2020-04-30,2020-04-30,United Kingdom,197099,26859,4948,676,1
2020-05-01,2020-05-01,United Kingdom,202024,27601,4925,742,1
2020-05-02,2020-05-02,United Kingdom,206553,28223,4529,622,1
2020-05-03,2020-05-03,United Kingdom,210722,28538,4169,315,1
2020-05-04,2020-05-04,United Kingdom,214704,28827,3982,289,1
2020-05-05,2020-05-05,United Kingdom,218618,29520,3914,693,1
2020-05-06,2020-05-06,United Kingdom,222520,30172,3902,652,1
2020-05-07,2020-05-07,United Kingdom,226402,30712,3882,540,1
2020-05-08,2020-05-08,United Kingdom,230109,31340,3707,628,1
2020-05-09,2020-05-09,United Kingdom,233511,31685,3402,345,1
2020-05-10,2020-05-10,United Kingdom,236715,31954,3204,269,1
2020-05-11,2020-05-11,United Kingdom,240036,32166,3321,212,1
2020-05-12,2020-05-12,United Kingdom,243410,32797,3374,631,1
2020-05-13,2020-05-13,United Kingdom,246809,33294,3399,497,1
2020-05-14,2020-05-14,United Kingdom,250090,33723,3281,429,1
2020-05-15,2020-05-15,United Kingdom,253266,34108,3176,385,1
2020-05-16,2020-05-16,United Kingdom,256284,34588,3018,480,1
2020-05-17,2020-05-17,United Kingdom,259140,34758,2856,170,1
2020-05-18,2020-05-18,United Kingdom,262015,34918,2875,160,1
2020-05-19,2020-05-19,United Kingdom,265007,35467,2992,549,1
2020-05-20,2020-05-20,United Kingdom,268024,35837,3017,370,1
2020-05-21,2020-05-21,United Kingdom,271033,36175,3009,338,1
2020-05-22,2020-05-22,United Kingdom,273947,36533,2914,358,1
2020-05-23,2020-05-23,United Kingdom,276686,36816,2739,283,1
2020-05-24,2020-05-24,United Kingdom,279258,37257,2572,441,1
2020-05-25,2020-05-25,United Kingdom,281765,37379,2507,122,1
2020-05-26,2020-05-26,United Kingdom,284235,37515,2470,136,1
2020-05-27,2020-05-27,United Kingdom,286712,37958,2477,443,1
2020-05-28,2020-05-28,United Kingdom,289184,38374,2472,416,1
2020-05-29,2020-05-29,United Kingdom,291610,38747,2426,373,1
2020-05-30,2020-05-30,United Kingdom,293901,38977,2291,230,1
2020-05-31,2020-05-31,United Kingdom,296079,39092,2178,115,1
2020-06-01,2020-06-01,United Kingdom,298276,39203,2197,111,1
2020-06-02,2020-06-02,United Kingdom,300499,39530,2223,327,1
2020-06-03,2020-06-03,United Kingdom,302717,39895,2218,365,1
2020-06-04,2020-06-04,United Kingdom,304906,40072,2189,177,1
2020-06-05,2020-06-05,United Kingdom,307038,40430,2132,358,1
2020-06-06,2020-06-06,United Kingdom,309015,40637,1977,207,1
2020-06-07,2020-06-07,United Kingdom,310841,40714,1826,77,1
2020-06-08,2020-06-08,United Kingdom,312699,40769,1858,55,1
2020-06-09,2020-06-09,United Kingdom,314606,41060,1907,291,1
2020-06-10,2020-06-10,United Kingdom,316563,41310,1957,250,1
2020-06-11,2020-06-11,United Kingdom,318505,41462,1942,152,1
2020-06-12,2020-06-12,United Kingdom,320454,41666,1949,204,1
2020-06-13,2020-06-13,United Kingdom,322352,41849,1898,183,1
2020-06-14,2020-06-14,United Kingdom,324179,41885,1827,36,1
2020-06-15,2020-06-15,United Kingdom,326039,41923,1860,38,1
2020-06-16,2020-06-16,United Kingdom,327943,42159,1904,236,1
2020-06-17,2020-06-17,United Kingdom,329856,42343,1913,184,1
2020-06-18,2020-06-18,United Kingdom,331784,42480,1928,137,1
2020-06-19,2020-06-19,United Kingdom,333712,42653,1928,173,1
2020-06-20,2020-06-20,United Kingdom,335509,42783,1797,130,1
2020-06-21,2020-06-21,United Kingdom,337185,42826,1676,43,1
2020-06-22,2020-06-22,United Kingdom,338889,42840,1704,14,1
2020-06-23,2020-06-23,United Kingdom,340614,43011,1725,171,1
2020-06-24,2020-06-24,United Kingdom,342313,43165,1699,154,1
2020-06-25,2020-06-25,United Kingdom,343957,43314,1644,149,1
2020-06-26,2020-06-26,United Kingdom,345533,43498,1576,184,1
2020-06-27,2020-06-27,United Kingdom,347055,43598,1522,100,1
2020-06-28,2020-06-28,United Kingdom,348409,43634,1354,36,1
2020-06-29,2020-06-29,United Kingdom,349757,43659,1348,25,1
2020-06-30,2020-06-30,United Kingdom,350981,43815,1224,156,1
2020-07-01,2020-07-01,United Kingdom,351857,43991,876,176,1
2020-07-02,2020-07-02,United Kingdom,352419,44080,562,89,1
2020-07-03,2020-07-03,United Kingdom,353109,44216,690,136,1
2020-07-04,2020-07-04,United Kingdom,353972,44283,863,67,1
2020-07-05,2020-07-05,United Kingdom,354916,44305,944,22,1
2020-07-06,2020-07-06,United Kingdom,355828,44321,912,16,1
2020-07-07,2020-07-07,United Kingdom,356853,44476,1025,155,1
2020-07-08,2020-07-08,United Kingdom,357995,44602,1142,126,1
2020-07-09,2020-07-09,United Kingdom,359232,44687,1237,85,1
2020-07-10,2020-07-10,United Kingdom,360479,44735,1247,48,1
2020-07-11,2020-07-11,United Kingdom,361882,44883,1403,148,1
2020-07-12,2020-07-12,United Kingdom,363324,44904,1442,21,1
2020-07-13,2020-07-13,United Kingdom,364736,44915,1412,11,1
2020-07-14,2020-07-14,United Kingdom,366402,45053,1666,138,1
2020-07-15,2020-07-15,United Kingdom,367985,45138,1583,85,1
2020-07-16,2020-07-16,United Kingdom,369558,45204,1573,66,1
2020-07-17,2020-07-17,United Kingdom,371142,45318,1584,114,1
2020-07-18,2020-07-18,United Kingdom,372796,45358,1654,40,1
2020-07-19,2020-07-19,United Kingdom,374457,45385,1661,27,1
2020-07-20,2020-07-20,United Kingdom,376052,45397,1595,12,1
2020-07-21,2020-07-21,United Kingdom,377514,45507,1462,110,1
2020-07-22,2020-07-22,United Kingdom,378941,45586,1427,79,1
2020-07-23,2020-07-23,United Kingdom,380447,45639,1506,53,1
2020-07-24,2020-07-24,United Kingdom,382009,45762,1562,123,1
2020-07-25,2020-07-25,United Kingdom,383615,45823,1606,61,1
2020-07-26,2020-07-26,United Kingdom,385245,45837,1630,14,1
2020-07-27,2020-07-27,United Kingdom,386864,45844,1619,7,1
