date_value,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-01-22,2020-01-22,US,3,0,2,0,1
2020-01-23,2020-01-23,US,7,0,4,0,1
2020-01-24,2020-01-24,US,12,0,5,0,1
2020-01-25,2020-01-25,US,18,0,6,0,1
2020-01-26,2020-01-26,US,26,0,8,0,1
2020-01-27,2020-01-27,US,35,0,9,0,1
2020-01-28,2020-01-28,US,44,0,9,0,1
2020-01-29,2020-01-29,US,54,0,10,0,1
2020-01-30,2020-01-30,US,64,0,10,0,1
2020-01-31,2020-01-31,US,74,0,10,0,1
2020-02-01,2020-02-01,US,83,0,9,0,1
2020-02-02,2020-02-02,US,92,0,9,0,1
2020-02-03,2020-02-03,US,102,0,10,0,1
2020-02-04,2020-02-04,US,114,0,12,0,1
2020-02-05,2020-02-05,US,130,0,16,0,1
2020-02-06,2020-02-06,US,149,0,19,0,1
2020-02-07,2020-02-07,US,169,0,20,0,1
2020-02-08,2020-02-08,US,192,0,23,0,1
2020-02-09,2020-02-09,US,217,0,25,0,1
2020-02-10,2020-02-10,US,242,0,25,0,1
2020-02-11,2020-02-11,US,261,0,19,0,1
2020-02-12,2020-02-12,US,282,0,21,0,1
2020-02-13,2020-02-13,US,298,0,16,0,1
2020-02-14,2020-02-14,US,319,0,21,0,1
2020-02-15,2020-02-15,US,347,0,28,0,1
2020-02-16,2020-02-16,US,380,0,33,0,1
2020-02-17,2020-02-17,US,415,0,35,0,1
2020-02-18,2020-02-18,US,457,0,42,0,1
2020-02-19,2020-02-19,US,497,0,40,0,1
2020-02-20,2020-02-20,US,538,0,41,0,1
2020-02-21,2020-02-21,US,570,0,32,0,1
2020-02-22,2020-02-22,US,609,0,39,0,1
2020-02-23,2020-02-23,US,654,0,45,0,1
2020-02-24,2020-02-24,US,706,0,52,0,1
2020-02-25,2020-02-25,US,762,0,56,0,1
2020-02-26,2020-02-26,US,821,0,59,0,1
2020-02-27,2020-02-27,US,865,0,44,0,1
2020-02-28,2020-02-28,US,916,0,51,0,1
2020-02-29,2020-02-29,US,960,1,44,1,1
2020-03-01,2020-03-01,US,997,1,37,0,1
2020-03-02,2020-03-02,US,1043,6,46,5,1
2020-03-03,2020-03-03,US,1094,7,51,1,1
2020-03-04,2020-03-04,US,1158,11,64,4,1
2020-03-05,2020-03-05,US,1268,12,110,1,1
2020-03-06,2020-03-06,US,1392,14,124,2,1
2020-03-07,2020-03-07,US,1588,17,196,3,1
2020-03-08,2020-03-08,US,1837,21,249,4,1
2020-03-09,2020-03-09,US,2085,22,248,1,1
2020-03-10,2020-03-10,US,2442,28,357,6,1
2020-03-11,2020-03-11,US,3064,33,622,5,1
2020-03-12,2020-03-12,US,3936,43,872,10,1
